履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;3222;0;;;;;;;;;;;;253;3;;;;副都统;3;伯都讷;4;伯都讷副都统;1;从二;巴尔达;;康熙;十三;1674;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;3223;0;;;;;;;;;;;;254;3;;;;副都统;3;伯都讷;4;伯都讷副都统;2;从二;沙纳海;;康熙;三十五;1696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;3224;1;康熙;;;康熙;31;1692;;制造库;制造库郎中;郎中;;255;3;;;;副都统;3;伯都讷;4;伯都讷副都统;3;从二;舒书;;康熙;三十五;1696;;;;;;;;;;;;;;;;;;6353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;宗室;;;;;;;;;
2;3228;0;;;;;;;;;;;;256;3;;;;副都统;3;伯都讷;4;伯都讷副都统;4;从二;瑚什巴;;康熙;三十六;1697;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;3229;0;;;;;;;;;;;;257;3;;;;副都统;3;伯都讷;4;伯都讷副都统;5;从二;常关保;;康熙;四十六;1707;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;宗室;;;;;;;;;
2;3230;0;;;;;;;;;;;;258;3;;;;副都统;3;伯都讷;4;伯都讷副都统;6;从二;托留;托柳;康熙;五十二;1713;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;;;;;;
2;3231;1;雍正;;;;;;;正红旗;正红旗蒙古掌左司关防参领;参领;;259;3;;;;副都统;3;伯都讷;4;伯都讷副都统;7;从二;沙喀;;康熙;五十五;1716;;;;;;;;;;;;;;;;;;10508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶黄;;;;;;;;;;
2;3232;0;;;;;;;;;;;;260;3;;;;副都统;3;伯都讷;4;伯都讷副都统;8;从二;托罗;;康熙;五十八;1719;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶黄;;;;;;;;;;
2;3233;0;;;;;;;;;;;;261;3;;;;副都统;3;伯都讷;4;伯都讷副都统;9;从二;许昌;;康熙;六十;1721;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;3234;0;;;;;;;;;;;;262;3;;;;副都统;3;伯都讷;4;伯都讷副都统;10;从二;色希图;;康熙;六十一;1722;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;3235;0;;;;;;;;;;;;263;3;;;;副都统;3;伯都讷;4;伯都讷副都统;11;从二;麻喀;;康熙;六十一;1722;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;;;;;;
2;3236;0;;;;;;;;;;;;264;3;;;;副都统;3;伯都讷;4;伯都讷副都统;12;从二;费雅思哈;;雍正;三;1725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;宗室;;;;;;;;;
2;3237;1;;;;雍正;5;1727;;奉天;奉天总管;总管;;265;3;;;;副都统;3;伯都讷;4;伯都讷副都统;13;从二;多索礼;多索理;雍正;七;1729;;;;;;;;;;;;;;;;;;5814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;3243;0;;;;;;;;;;;;266;3;;;;副都统;3;伯都讷;4;伯都讷副都统;14;从二;图尔赛;图里赛;雍正;八;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;3244;1;雍正;3;1725;;;;;;护军校;护军校;;267;3;;;;副都统;3;伯都讷;4;伯都讷副都统;15;从二;哲库纳;哲库讷、哲库诺;雍正;九;1731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;3257;0;;;;;;;;;;;;268;3;;;;副都统;3;伯都讷;4;伯都讷副都统;16;从二;伊特轮;;雍正;九;1731;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正蓝;;;;;;;;;;
