履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
3;312;0;;;;;;;;;;;;47;5;《奉天通志》;3300;;城守尉;5;开原;3;开原城守尉;1;正三;喇跋;;康熙;二十一;1682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;313;0;;;;;;;;;;;;48;5;《奉天通志》;3300;;城守尉;5;开原;3;开原城守尉;2;正三;雅住;;康熙;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;314;0;;;;;;;;;;;;49;5;《奉天通志》;3300;;城守尉;5;开原;3;开原城守尉;3;正三;五达[革占];;康熙;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;315;0;;;;;;;;;;;;50;5;《奉天通志》;3303;;城守尉;5;开原;3;开原城守尉;4;正三;臊达色;;雍正;八;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;316;0;;;;;;;;;;;;51;5;《奉天通志》;3303;;城守尉;5;开原;3;开原城守尉;5;正三;图里泰;;雍正;十;1732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;317;0;;;;;;;;;;;;52;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;6;正三;阿海;;乾隆;七;1742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
3;318;0;;;;;;;;;;;;53;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;7;正三;穆尔塞;;乾隆;十一;1746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;319;0;;;;;;;;;;;;54;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;8;正三;巴尔赛;;乾隆;十六;1751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
3;320;0;;;;;;;;;;;;55;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;9;正三;留保住;刘保住;乾隆;二十一;1756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;321;0;;;;;;;;;;;;56;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;10;正三;奇巴海;;乾隆;二十五;1760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
3;322;0;;;;;;;;;;;;57;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;11;正三;巴尔虎;;乾隆;二十七;1762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
3;324;0;;;;;;;;;;;;59;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;13;正三;额讷慎;额诺慎;乾隆;三十二;1767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
3;325;1;乾隆;16;1751;乾隆;27;1762;;;三等侍卫;三等侍卫;;60;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;14;正三;恒山保;;乾隆;三十九;1774;;;;;;;乾隆;四十一;;六;;;;镶黄旗汉军副都统;;;;12226;;1733;1792;爱新觉罗;;;;握内;杜穆德;德尔素;燕山保;香山保;;;;;;;;;;岳龄;;;;;;;;;;;;;;;;隆昆;;;;;;;;;;;;;;;;满洲;正黄;宗室;;;;;;;;;
