履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;13043;1;乾隆;;;乾隆;;;;宗人府;宗人府笔帖式;笔帖式;;523;2;魏秀梅职官表;845;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;40;正二;禄康;;乾隆;五十七;1792;九;9;;;;;;;;;;;;;;;;893;;1756;1816;爱新觉罗;;;;;;炳文;;;;;;;;;;;;耆英;;;;;;;;;;;;;;;;庆锡;庆贤;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;笔帖式;;;;;
1;13147;1;乾隆;;;乾隆;;;;宗人府;宗人府笔帖式;笔帖式;;525;2;魏秀梅职官表;845;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;42;正二;禄康;;嘉庆;三;1798;一;1;;;;;;;;;;;;;;;;893;;1756;1816;爱新觉罗;;;;;;炳文;;;;;;;;;;;;耆英;;;;;;;;;;;;;;;;庆锡;庆贤;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;笔帖式;;;;;
1;13728;1;乾隆;44;1779;乾隆;46;1781;;太仆寺;太仆寺笔帖式;笔帖式;;537;2;魏秀梅职官表;819;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;54;正二;多福;;嘉庆;二十三;1818;一;1;;;;;;;;;;;;;;;;698;;;1824;叶赫那拉;;;;;;;;;;;;;;;;;;毓书;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;官学生;;;;;
1;13792;1;乾隆;57;1792;嘉庆;1;1796;;户部;户部笔帖式;笔帖式;;539;2;魏秀梅职官表;915;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;56;正二;常文;;道光;五;1825;六;6;;;;;;;;;;;;;;;;2817;;;1832;西林觉罗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;贡生;;;;;
1;13959;1;嘉庆;7;1802;嘉庆;8;1803;;内阁;内阁贴写中书;中书;;543;2;魏秀梅职官表;938;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;60;正二;嵩惠;;道光;十二;1832;一;1;;;;;;;;;;;;;;;;1637;;;1836;伊尔根觉罗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;监生;;;;;
1;14191;1;嘉庆;3;1798;嘉庆;13;1808;;;效力笔帖式;笔帖式;;549;2;;0;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;66;正二;成刚;;道光;二十;1840;;;;;;;;;;;;;;;;;;3455;;1773;1849;;;;简敬;;;;;;;;;;;;;;;庆廉;庆智;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;笔帖式;;;;;
1;14227;1;乾隆;60;1795;嘉庆;11;1806;;内阁;内阁贴写中书;中书;;550;2;魏秀梅职官表;870;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;67;正二;惠丰;;道光;二十二;1842;十一;11;;;;;;;;;;;;;;;;1741;;1777;1851;博尔济吉特;;;恪慎;;;德庄;;;;;;;;;;;;寿昌;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;官学生;;;;;
1;15234;1;道光;;;道光;;;捐纳;;笔帖式(捐纳);笔帖式;;569;2;魏秀梅职官表;945;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;86;正二;恩福;;光绪;五;1879;十一;11;;;;;;;;;;;;;;;;4237;;1819;1883;富察;;;;;;;;;;;;;;;;;;松年;柏年;有年;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
1;15471;1;;;;;;;;吏部;吏部笔帖式;笔帖式;;584;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;8;正二;阿山;;康熙;三十五;1696;六;6;;;;;;;;;;;;;;;;334;;;1714;伊拉哩;;;;;;;;;;;;;;;;;;法敏;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;笔帖式;;;;;
1;15503;1;顺治;14;1657;康熙;15;1676;;;鼓厅笔帖式;笔帖式;;585;2;;;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;9;正二;哈山;哈三;康熙;三十六;1697;六;6;;;;;;;;;;;;;;;;12318;;1633;1719;富察;;;;;;富明安;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;官学生;;;;;
