履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;20480;1;康熙;55;1716;;;;;吏部;吏部笔帖式;笔帖式;;764;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;20;正二;葛森;噶森;雍正;十三;1735;;;;;;;;;;;;;;;;;;6500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;监生;;;;;
1;20511;1;雍正;;;雍正;;;;;笔帖式;笔帖式;;766;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;22;正二;兆惠;;乾隆;七;1742;一;1;;;;;;;;;;;;;;;;650;;;1764;吴雅;和甫;;文襄;;;佛标;;;;;;;;;;;;扎兰泰;;;;;;;;;;;;;;;;百善保;英峻;;;;;;;;;;;;;;;满洲;正黄;;;;;笔帖式;;;湖广;武陵;
1;20547;1;康熙;39;1700;康熙;53;1714;;;笔帖式;笔帖式;;767;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;23;正二;托时;;乾隆;九;1744;十一;11;;;;;;;;;;;;;;;;732;;;1760;佟佳;;;;;舜古尔岱;;;;;;;;;;;;;佟起;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;笔帖式;;;江南;扬州;甘泉
1;20652;1;乾隆;35;1770;乾隆;44;1779;;内阁;内阁中书;中书;;770;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;26;正二;傅森;;乾隆;十七;1752;一;1;;;;;;;;;;;;;;;;2374;;;1801;钮祜禄;;;;;;;;;;;;;;;;;;英林;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
1;20746;1;乾隆;;;乾隆;12;1747;;刑部;刑部郎中;郎中;;774;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;30;正二;石柱;;乾隆;二十三;1758;;;;;;;;;;;;;;;;;;1948;;1698;1758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;监生;;;;;
1;20870;1;乾隆;9;1744;乾隆;17;1752;;内阁;内阁中书;中书;;782;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;38;正二;巴延三;;乾隆;五十六;1791;十二;12;;;;;;;;;;;;;;;;286;;1795;;;;;;;;;;;;;;;;;;;;德克精阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;觉罗;;;;官学生;;;;;
1;20944;1;乾隆;35;1770;乾隆;44;1779;;内阁;内阁中书;中书;;784;2;魏秀梅职官表;816;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;40;正二;傅森;;乾隆;五十九;1794;十一;11;;;;;;;;;;;;;;;;2374;;;1801;钮祜禄;;;;;;;;;;;;;;;;;;英林;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
1;20978;1;乾隆;24;1759;乾隆;37;1772;;户部;户部笔帖式;笔帖式;;785;2;魏秀梅职官表;824;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;41;正二;德瑛;;嘉庆;二;1797;一;1;;;;;;;;;;;;;;;;2148;;;1815;伊尔根觉罗;;;;;;安泰;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;觉罗;;;;笔帖式;;护军补笔帖式;;;
1;21244;1;乾隆;40;1775;乾隆;45;1780;;内阁;贴写中书;中书;;790;2;魏秀梅职官表;877;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;46;正二;继善;;嘉庆;七;1802;一;1;;;;;;;;;;;;;;;;2615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;廪生;;;;;
1;21268;1;乾隆;33;1768;乾隆;36;1771;;侍卫处;侍卫处笔帖式;笔帖式;;791;2;魏秀梅职官表;811;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;47;正二;穆克登额;;嘉庆;七;1802;七;7;;;;;;;;;;;;;;;;1278;;;1829;瓜尔佳;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;笔帖式;;;;;
