履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;72;0;;;;;;;;;;;;27;3;;;;副都统;3;盛京;1;盛京副都统;27;从二;威色;魏塞、委色、魏色;雍正;一;1723;七;7;;;;;雍正;三;;五;;;;调乌喇副都统;调;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;;;;;;
2;73;0;;;;;;;;;;;;28;3;;;;副都统;3;盛京;1;盛京副都统;28;从二;额尔钦;额尔勤、额尔谨;雍正;二;1724;十二;12;;;步军总尉;;雍正;五;;二;;;;调齐齐哈尔副都统;调;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;74;0;;;;;;;;;;;;29;3;;;;副都统;3;盛京;1;盛京副都统;29;从二;傅哥;傅格;雍正;三;1725;五;5;;;镶蓝旗参领;授;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
2;75;1;;;;雍正;5;1727;;奉天;奉天总管;总管;;30;3;;;;副都统;3;盛京;1;盛京副都统;30;从二;多索礼;多索理;雍正;四;1726;二;2;;;;任;;;;;;;;;;;;5814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
2;81;0;;;;;;;;;;;;31;3;;;;副都统;3;盛京;1;盛京副都统;31;从二;图尔赛;图里赛;雍正;五;1727;二;2;;;陕西右卫左翼;调授;;五;;六;;;;移驻锦州;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;82;1;同治;;;同治;5;1866;;;蓝翎长;蓝翎长;;32;3;;;;副都统;3;盛京;1;盛京副都统;32;从二;讷钦;那钦、纳秦、讷钦那秦;雍正;五;1727;五;5;;;一等侍卫;;;;;;;;;;;;;5257;;1837;;瓜尔佳;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;99;0;;;;;;;;;;;;33;3;;;;副都统;3;盛京;1;盛京副都统;33;从二;额尔钦;额尔勤、额尔谨;雍正;七;1729;七;7;;;;;;八;;一;;;;调熊岳;调;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;100;0;;;;;;;;;;;;34;3;;;;副都统;3;盛京;1;盛京副都统;34;从二;长生;常升长胜;雍正;八;1730;一;1;;;镶蓝旗汉军副都统;调授;;十一;;一;;;;调宁古塔;调;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;101;1;;;;雍正;9;1731;;;三等侍卫;三等侍卫;;35;3;;;;副都统;3;盛京;1;盛京副都统;35;从二;巴尔岱;;雍正;十一;1733;一;1;;;宁古塔副都统;调;;十三;;闰四;;;;调京;调;;;9694;;;1740;爱新觉罗;;;;努尔哈赤;塔拜;巴穆布尔善;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;;三等侍卫;;;;
2;106;1;雍正;3;1725;;;;;;护军校;护军校;;36;3;;;;副都统;3;盛京;1;盛京副都统;36;从二;哲库纳;哲库讷、哲库诺;雍正;十三;1735;四;4;;;伯都讷副都统;授;乾隆;十五;;十二;;;;革;;;;5505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
