履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;24501;1;崇德;;;崇德;6;1642;;;前锋参领=噶什布贤章京;参领;;867;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;1;正二;努山;;顺治;十六;1659;六;6;;;;;;;;;;;;;;;;14692;;;1658;扎库塔;;;;;;塔克都;瑚什屯;;;;;;;;;;;浑岱;托岱;江瀰;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
1;24509;0;;;;;;;;;;;;868;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;2;正二;敖塞;;康熙;七;1668;五;6;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
1;24510;1;康熙;;;;;;;宗人府;宗人府理事官;理事官;;869;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;3;正二;沙赖;沙赖、沙赍;康熙;十六;1677;一;1;;;;;;;;;;;;;;;;17746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;觉罗;;;;;;;;;
1;24526;1;;;;;;;;礼部;礼科给事中;给事中;;870;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;4;正二;廖旦;寥旦;康熙;十九;1680;一;1;;;;;;;;;;;;;;;;7889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
1;24545;0;;;;;;;;;;;;872;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;6;正二;星安;兴安;康熙;三十;1691;十一;11;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
1;24546;1;康熙;;;康熙;33;1694;;翰林院;翰林院侍讲学士;侍讲学士;;873;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;7;正二;傅德;富德;康熙;三十三;1694;六;6;;;;;;;;;;;;;;;;6200;;;1696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
1;24549;0;;;;;;;;;;;;874;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;8;正二;齐穑;祈色;康熙;三十五;1696;四;4;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
1;24550;1;乾隆;1;1736;乾隆;11;1746;;杭州;杭州织造;;;875;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;9;正二;苏赫纳;苏和讷;康熙;三十七;1698;七;7;;;;;;;;;;;;;;;;5495;;1697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
1;24558;0;;;;;;;;;;;;876;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;10;正二;伯尔克;白尔克;康熙;三十八;1699;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
1;24559;0;;;;;;;;;;;;877;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;11;正二;席尔图;西尔图;康熙;四十五;1706;三;3;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
