履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;15464;0;;;;;;;;;;;;577;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;1;正二;瑚米达;胡密达;顺治;十五;1658;;;;;;;;;;;;;;;;;;2868;;;1673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
1;15465;0;;;;;;;;;;;;578;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;2;正二;哈尔松噶;;康熙;八;1669;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;;;;;;
1;15466;0;;;;;;;;;;;;579;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;3;正二;锡兰泰;席兰泰;康熙;二十二;1683;一;1;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
1;15467;0;;;;;;;;;;;;580;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;4;正二;珠山;朱善;康熙;二十七;1688;八;8;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
1;15468;0;;;;;;;;;;;;581;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;5;正二;单璧;山疋;康熙;三十九;1700;十;10;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
1;15469;0;;;;;;;;;;;;582;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;6;正二;艾肃;爱素;康熙;三十三;1694;四;4;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
1;15470;0;;;;;;;;;;;;583;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;7;正二;庸爱;;康熙;三十四;1695;十一;11;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15520;1;康熙;;;康熙;;;;刑部;刑部掌印郎中;郎中;;586;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;10;正二;苏尔德;书尔德;康熙;四十九;1710;五;6;;;;;;;;;;;;;;;;7733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
1;15529;0;;;;;;;;;;;;587;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;11;正二;巴济纳;巴巴那;康熙;五十二;1713;十二;12;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
1;15530;0;;;;;;;;;;;;588;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;12;正二;关色;;雍正;一;1723;二;2;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
