履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;536;1;乾隆;36;1771;;;;;户部;户部额外主事上学习行走;主事;;60;3;魏秀梅职官表;699;;副都统;3;盛京;1;盛京副都统;60;从二;和宁;;嘉庆;十九;1814;四;4;十八;18140606;;降;嘉庆;十九;1814;五;夏;三;18140620;调热河都统;调;未任;;5285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;乾隆;;36;进士;;;;;
2;1323;1;道光;15;1835;道光;16;1836;;;庶吉士;庶吉士;;97;3;魏秀梅职官表;700;;副都统;3;盛京;1;盛京副都统;97;从二;景霖;;同治;二;1863;一;1;二十五;18630314;;署;同治;;;;;;;;;;;7758;;;;瓜尔佳;星桥;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;道光;;15;进士;;;;;
2;1877;1;雍正;;;雍正;10;1732;;;额外学士;学士;;141;3;;;;副都统;3;吉林;2;吉林副都统;21;从二;索柱;;乾隆;五十;1785;;;;;;;;;;;;;;;;;;4617;;;;;海峰;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;康熙;54;;进士;;;;;
2;4164;1;乾隆;40;1775;乾隆;;;;刑部;刑部主事;主事;按察使、布政使;364;3;魏秀梅职官表;712;;副都统;3;三姓;5;三姓副都统;43;从二;长麟;;光绪;一;1875;九;9;五;18751003;;;光绪;九;1883;五;夏;十七;18830621;卒;卒;任职根据光绪二年正月译汉月折，离职根据光绪九年六月（上）月折档;;6732;;;1811;觉罗;牧庵;;文敏;;;;长琇;长庆;;;;;;;;;;怀新;怀勋;怀宽;;;;;;;;;;;;;;普年;;;;;;;;;;;;;;;;满洲;正蓝;觉罗;乾隆;;40;进士;;;;;
2;4227;1;;;;咸丰;4;1854;;;衡永郴桂道;;;367;3;魏秀梅职官表;712;;副都统;3;三姓;5;三姓副都统;46;从二;文格;;光绪;十三;1887;三;3;四;18870328;;;光绪;十五;1889;十一;冬;十九;18891211;因病开缺;病;;;3432;;;1893;;式岩，式岩;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;道光;;24;进士;;;;;
2;4980;1;嘉庆;13;1808;嘉庆;16;1811;;山西;山西司主事(户部山西司主事);主事;进士-尚书-考官;456;3;魏秀梅职官表;716;;副都统;3;黑龙江;7;黑龙江副都统;43;从二;清安;;道光;二十六;1847;十二;12;二十;18470205;;任;咸丰;四;1854;六;夏;二;18540626;年老休致;;;;2285;;1767;1834;叶赫那拉那;正修，慎修，竹汀，鹤侣;;恭勤;;;;;;;;;;;;;;;那全志;那全庆;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;嘉庆;;10;进士;;;;;
2;5047;1;道光;24;1844;道光;25;1845;;;二甲庶吉士;庶吉士;;457;3;魏秀梅职官表;716;;副都统;3;黑龙江;7;黑龙江副都统;44;从二;富呢雅杭阿;;咸丰;四;1854;六;6;二;18540626;;任;咸丰;五;1856;十二;冬;一;18560108;在江南军营病故;;实十一月十日卒（传包）;;1004;;;;;容之;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶红;;道光;;24;进士;;;;;
2;5759;1;道光;24;1844;道光;25;1845;;;庶吉士[二甲庶吉士];庶吉士;;525;3;魏秀梅职官表;702;;副都统;3;熊岳;8;熊岳副都统;49;从二;富呢雅杭阿;;咸丰;三;1853;三;3;十八;18530425;;署;咸丰;;;;;;;;;;;1004;;;;;容之;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶红;;道光;;24;进士;;;;;
2;5991;1;;;;咸丰;4;1854;;;衡永郴桂道;;;533;3;魏秀梅职官表;703;;副都统;3;熊岳;8;熊岳副都统;57;从二;文格;;光绪;十;1884;十二;12;;;;署;光绪;;;;;;;;;;;3432;;;1893;;式岩，式岩;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;道光;;24;进士;;;;;
2;6006;1;;;;咸丰;4;1854;;;衡永郴桂道;;;534;3;魏秀梅职官表;703;;副都统;3;熊岳;8;熊岳副都统;58;从二;文格;;光绪;十二;1886;五;5;十四;18860615;;任;光绪;十三;1887;三;春;四;18870328;调三姓副都统;调;实授;;3432;;;1893;;式岩，式岩;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;道光;;24;进士;;;;;
