履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;18075;0;;;;;;;;;;;;683;2;;0;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;26;正二;范宜清;范宜清;乾隆;四十八;1783;十;10;;;;;;;;;;;;;;;;2952;;;;;;;;范文程;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;镶黄;;;;;;;;顺天;文安;
1;20447;1;康熙;;;康熙;50;1711;;衡永郴;衡永郴道;;;761;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;17;正二;王朝恩;;雍正;六;1728;;;;;;;;;;;;;;;;;;4300;;;;王;晋公;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;镶红;;;;;;;;;;
2;2578;1;同治;;;同治;11;1872;;;印务笔帖式;笔帖式;;192;3;魏秀梅职官表;707;;副都统;3;吉林;2;吉林副都统;72;从二;成勋;;光绪;二十四;1898;八;8;一;18980916;;任;宣统;一;;;;;;裁缺;;;;7408;;1842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正黄;;;;;;;;;;
2;3033;1;道光;;;道光;12;1832;;;前锋委笔帖式;笔帖式;;234;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;42;从二;富明阿;;咸丰;八;1858;九;9;十八;18581024;;任;咸丰;十一;1861;一;春;二十七;18610308;因病开缺;病;;;1801;;1805;1882;袁;治安;;威勤;袁贵;常在;袁赶;袁世有;袁世宽;;;;;;;;;;袁寿山;袁永山;;;;;;;;;;;;;;;袁庆奇;袁庆良;;;;;;;;;;;;;;;汉军;正白;;;;;;披甲(马甲);;;;
2;3065;1;咸丰;5;1855;咸丰;8;1858;;黑龙江;黑龙江总管;总管;军事职能;235;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;43;从二;德楞额;德楞阿;咸丰;九;1869;七;7;;;;任;咸丰;十一;1861;一;春;二十七;18610308;调阿勒楚喀副都统;调;任职根据吉林通志卷62页24;;1424;;;;崔;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;多福;;;;;;;;;;;;;;;;汉军;正红;;;;;;;;;;
2;3560;1;咸丰;5;1855;咸丰;8;1858;;黑龙江;黑龙江总管;总管;;305;3;魏秀梅职官表;711;;副都统;3;伯都讷;4;伯都讷副都统;53;从二;德楞额;;同治;二;1863;十一;11;十七;18631227;;署;同治;;;;;;;;;;;1424;;;;崔;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;多福;;;;;;;;;;;;;;;;汉军;正红;;;;;;;;;;
2;3728;1;咸丰;11;1861;同治;1;1862;;;骁骑校;骁骑校;;317;3;魏秀梅职官表;711;;副都统;3;伯都讷;4;伯都讷副都统;65;从二;富魁;福魁;光绪;十四;1888;十二;12;五;18890106;;署;光绪;;;;;;;;;;;7715;;;;解佳;;伯卿额巴图鲁;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;镶黄;;;;;;;;;;
2;3746;1;光绪;;;光绪;6;1880;;吉林;乌拉右翼翼领;;;320;3;魏秀梅职官表;711;;副都统;3;伯都讷;4;伯都讷副都统;68;从二;云生;;光绪;二十七;1901;四;4;二十八;19010614;;任;光绪;二十八;1902;二;春;;;解;;;;8219;;1830;1902;;奇峰;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正白;;;;;;;;;;
2;4163;0;;;;;;;;;;;;363;3;魏秀梅职官表;712;;副都统;3;三姓;5;三姓副都统;42;从二;胜安;;同治;五;1866;八;8;二十三;18661001;;;光绪;一;1875;九;秋;四;18751002;缘事革职;革;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正白;;;;;;;;;;
2;4243;1;咸丰;11;1861;同治;1;1862;;;骁骑校;骁骑校;;369;3;魏秀梅职官表;712;;副都统;3;三姓;5;三姓副都统;48;从二;富魁;福魁;光绪;十六;1890;二;2;十五;18900305;;;光绪;二十二;1896;二;春;十五;18960328;因病解职;病;亦作富魁;;7715;;;;解佳;;伯卿额巴图鲁;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;镶黄;;;;;;;;;;
2;4249;1;道光;12;1832;道光;13;1833;;翰林院;翰林院庶吉士;庶吉士;;370;3;魏秀梅职官表;712;;副都统;3;三姓;5;三姓副都统;49;从二;庆祺;;光绪;二十二;1896;二;2;十五;18960328;;;光绪;二十四;1898;五;夏;十五;18980703;开缺到京;;;;8337;;1848;1916;袁佳袁;云峰;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正白;;;;;;马甲;;;;
2;4511;0;;;;;;;;;;;;393;3;魏秀梅职官表;714;;副都统;3;阿勒楚喀;6;阿勒楚喀副都统;19;从二;张仲敬;;道光;十一;1831;十;10;二十一;18311124;;调;道光;十五;1836;十二;冬;十九;18360205;缘事降调;降;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;镶蓝;;;;;;;;;;
2;4566;1;咸丰;5;1855;咸丰;8;1858;;黑龙江;黑龙江总管;总管;军事职能;400;3;魏秀梅职官表;714;;副都统;3;阿勒楚喀;6;阿勒楚喀副都统;26;从二;德楞额;;咸丰;十一;1861;一;1;二十七;18610308;;调;咸丰;十一;1861;九;秋;十三;18611016;缘事到京听候部议;;同治元年十月十六日革职;;1424;;;;崔;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;多福;;;;;;;;;;;;;;;;汉军;正红;;;;;;;;;;
