履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;15470;0;;;;;;;;;;;;583;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;7;正二;庸爱;;康熙;三十四;1695;十一;11;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15569;0;;;;;;;;;;;;591;2;;0;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;15;正二;永国;;雍正;七;1729;二;2;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15937;1;乾隆;60;1795;;;;;通政使司;通政史;通政史;;610;2;魏秀梅职官表;803;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;34;正二;宝源;;嘉庆;二;1797;一;1;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15971;1;乾隆;;;;;;;兵部;[兵部员外郎];员外郎;;613;2;魏秀梅职官表;819;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;37;正二;多庆;;嘉庆;七;1802;一;1;;;;;;;;;;;;;;;;5824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;19840;0;;;;;;;;;;;;726;2;;0;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;69;正二;连奎;;咸丰;六;1856;十二;12;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;736;0;;;;;;;;;;;;67;3;魏秀梅职官表;699;;副都统;3;盛京;1;盛京副都统;67;从二;舒明阿;;嘉庆;二十五;1820;十一;11;二;18201207;;任;道光;一;1821;二;春;十七;18210320;卒;卒;离职根据传稿;;748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1460;0;;;;;;;;;;;;105;3;魏秀梅职官表;700;;副都统;3;盛京;1;盛京副都统;105;从二;花里雅春;;同治;四;1865;十二;12;二十五;18660210;;任;同治;五;1866;四;夏;十二;18660525;缘事降调;降;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1462;0;;;;;;;;;;;;107;3;魏秀梅职官表;700;;副都统;3;盛京;1;盛京副都统;107;从二;杜噶尔;;同治;五;1866;六;6;二十二;18660802;;调;同治;六;1867;六;夏;二十三;18670724;调察哈尔副都统;调;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1639;0;;;;;;;;;;;;120;3;魏秀梅职官表;701;;副都统;3;盛京;1;盛京副都统;120;从二;德裕;;宣统;二;1910;九;9;十四;19101016;;任;宣统;;;;;;;;;;;6353;;1841;;许;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;浙江;湖州府;德清
2;1906;0;;;;;;;;;;;;143;3;;;;副都统;3;吉林;2;吉林副都统;23;从二;巴里穆达;巴哩木达;乾隆;五十三;1788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2050;0;;;;;;;;;;;;153;3;魏秀梅职官表;706;;副都统;3;吉林;2;吉林副都统;33;从二;图瓦尚阿;;嘉庆;十四;1809;九;9;八;18091016;;调;嘉庆;十四;1809;十;冬;二;18091109;调荆州右翼副都统;调;未到任;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
