履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;17582;1;咸丰;7;1857;;;;;太仆寺;太仆寺主事上行走;主事;;650;2;魏秀梅职官表;957;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;74;正二;文晖;;光绪;十二;1886;五;6;;;;;;;;;;;;;;;;1979;;;1889;石尔德特;葵卿;;;;;瑞常;喜格;寿格;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶红;;;;;荫生;;;;;
1;17663;1;;;;光绪;10;1884;;太仆寺;太仆寺卿;卿;;652;2;魏秀梅职官表;958;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;76;正二;文兴;;光绪;十七;1891;十一;11;;;;;;;;;;;;;;;;2310;;;1899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正蓝;;;;;监生;;;;;
1;17692;1;光绪;1;1875;光绪;4;1878;考充;咸安宫;咸安宫蒙古学教习(考充);;;655;2;魏秀梅职官表;829;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;79;正二;特图慎;;光绪;二十七;1901;八;8;;;;;;;;;;;;;;;;14752;;1857;;;如全;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正白;;;;;笔帖式;;;;;
1;19209;1;道光;5;1825;道光;;;;;三等侍卫;三等侍卫;;714;2;魏秀梅职官表;968;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;57;正二;倭什讷;;道光;二十三;1843;四;4;;;;;;;;;;;;;;;;4769;;1803;1852;伍弥忒（特;;;;;德楞泰;苏冲阿;;;;;;;;;;;;希元;希贤;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;荫生;;;;;
1;25177;1;乾隆;;;乾隆;;;;内阁;中书;中书;;915;2;魏秀梅职官表;933;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;49;正二;策丹;;嘉庆;十一;1806;八;8;;;;;;;;;;;;;;;;734;;;1818;托克托莫忒;;;;;;;;;;;;;;;;;;成禄;成玺;成璧;成珪;成琳;;;;;;;;;;;;明训;明谊;;;;;;;;;;;;;;;蒙古;正黄;;;;;官学生;;;;;
1;26520;1;道光;5;1825;道光;;;;;三等侍卫;三等侍卫;;949;2;魏秀梅职官表;968;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;83;正二;倭什讷;;道光;二十四;1844;三;3;;;;;;;;;;;;;;;;4769;;1803;1852;伍弥忒（特;;;;;德楞泰;苏冲阿;;;;;;;;;;;;希元;希贤;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;荫生;;;;;
2;4605;1;同治;3;1864;;;;;阿勒楚喀;阿勒楚喀副都统;副都统;;402;3;魏秀梅职官表;714;;副都统;3;阿勒楚喀;6;阿勒楚喀副都统;28;从二;徳英;;同治;三;1864;七;7;三;18640804;;任;同治;六;1867;八;秋;二十三;18670920;调吉林副都统;调;;;0;;1820;1874;何图哩;润堂;;庄毅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶黄;;;;;附生;;;;;
2;5157;1;同治;5;1866;光绪;5;1879;;;佐领;佐领;;469;3;魏秀梅职官表;717;;副都统;3;黑龙江;7;黑龙江副都统;56;从二;禄彭;;光绪;十三;1887;八;8;二十三;18871009;;调;光绪;十六;1890;二;春;二十四;18900314;调齐齐哈尔副都统;调;;;1463;;;1890;额哲忒;;;;;;;;;;;;;;;;;;崇文;宝文;荣文;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;文生员;;;;;
2;5452;1;乾隆;37;1772;乾隆;49;1784;;理藩院;理藩院笔帖式;笔帖式;;504;3;魏秀梅职官表;702;;副都统;3;熊岳;8;熊岳副都统;28;从二;策拔克;;嘉庆;九;1804;四;4;二十;18040528;;任;嘉庆;九;1804;十;冬;十九;18041120;调驻藏办事大臣;调;;;5184;;;1812;博尔济吉特;;;;;;;;;;;;;;;;;;珠拉;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶黄;;;;;官学生;;;;;
2;7399;1;同治;5;1866;光绪;5;1879;;;佐领;佐领;;654;3;魏秀梅职官表;718;;副都统;3;齐齐哈尔;10;齐齐哈尔副都统;54;从二;禄彭;;光绪;五;1879;十一;11;二;18791214;;任;光绪;十三;1887;八;秋;二十三;18871009;调黑龙江副都统;调;;;1463;;;1890;额哲忒;;;;;;;;;;;;;;;;;;崇文;宝文;荣文;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;文生员;;;;;
2;7428;1;同治;5;1866;光绪;5;1879;;;佐领;佐领;;657;3;魏秀梅职官表;719;;副都统;3;齐齐哈尔;10;齐齐哈尔副都统;57;从二;禄彭;;光绪;十六;1890;二;2;二十四;18900314;;调;光绪;十六;1890;八;秋;四;18900917;卒;卒;实七月十六日卒（十六年八月（上）月折档）;;1463;;;1890;额哲忒;;;;;;;;;;;;;;;;;;崇文;宝文;荣文;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;文生员;;;;;
2;7825;1;;;;;;;捐纳;;监生领催;领催;;709;3;魏秀梅职官表;753;;副都统;3;兴京;12;兴京副都统;7;从二;恩泽;;宣统;三;1912;十一;11;二十三;19120111;;任;;;;;;;;;;;;7333;;;1899;庄噶奇特;雨三;;壮敏;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;长龄;;;;;;;;;;;;;;;;蒙古;镶蓝;;;;;监生;领催;捐纳监生领催;;;
