履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;6427;1;乾隆;55;1790;嘉庆;12;1807;;军机处;军机处章京;;;572;3;魏秀梅职官表;704;;副都统;3;锦州;9;锦州副都统;30;从二;文孚;;嘉庆;二十一;1816;二;2;三;18160301;;任;嘉庆;二十三;1818;九;秋;二;18181001;调刑部右侍郎;调;;;311;;1765;1841;博尔济吉特;秋潭;;文敬;;;国栋;;;;;;;;;;;;;;;;;;;;;;;;;;;;裕瑛;;;;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
2;7941;1;同治;3;1864;同治;;;;;护军;;参领-营官-副都统;717;3;魏秀梅职官表;754;;副都统;3;珲春;13;珲春副都统;8;从二;英联;英连;光绪;二十三;1897;二;2;二十九;18970331;;调;光绪;二十七;1901;一;1;三;19010221;卒;卒;离职根据光绪二十七年四月奏折档，页131;;;;;;穆尔察;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;官学生;;;;;
2;5080;1;道光;;;道光;;;;工部;工部笔帖式;笔帖式;;459;3;魏秀梅职官表;716;;副都统;3;黑龙江;7;黑龙江副都统;46;从二;积拉明阿;;咸丰;七;1857;七;7;十一;18570830;;任;咸丰;九;1859;二;春;十二;18590316;缘事撤任;;三月四日改革职留任，五月十六日革任（亦作吉拉明阿）;;7509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;官学生;;;;;
2;2402;1;同治;3;1864;;;;;阿勒楚喀;阿勒楚喀副都统;副都统;;179;3;魏秀梅职官表;707;;副都统;3;吉林;2;吉林副都统;59;从二;徳英;;同治;;;;;;;;;同治;九;1870;九;秋;二十二;18701016;实授黑龙江将军;;;;0;;1820;1874;何图哩;润堂;;庄毅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;附生;;;;;
2;6934;1;光绪;10;1884;光绪;18;1892;;齐齐哈尔;齐齐哈尔参领;参领;;598;3;魏秀梅职官表;705;;副都统;3;锦州;9;锦州副都统;56;从二;绰哈布;;光绪;二十五;1899;二;2;四;18990315;;调;光绪;二十五;1899;五;夏;二十一;18990628;调宁夏将军;调;;;1524;;1852;1908;张佳;;;武勤;;;;;;;;;;;;;;;桂龄;;;;;;;;;;;;;;;;崇祥;;;;;;;;;;;;;;;;满洲;正黄;;;;;荫生;;;;;
2;5383;1;;;;乾隆;2;1737;;刑部;刑部笔帖式;笔帖式;布政使、总督等;496;3;;;;副都统;3;熊岳;8;熊岳副都统;19;从二;德福;;乾隆;四十三;1778;十二;12;;;锦州副都统;授;乾隆;五十;;一;;;;解;解;;;2101;;;1782;伊尔根觉罗;;;;;;;;;;;;;;;;;;荣柱;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;监生;;;;;
2;5659;1;乾隆;;;;;;;;教习;;按察使-布政使;519;3;魏秀梅职官表;702;;副都统;3;熊岳;8;熊岳副都统;43;从二;桂生;贵升贵盛贵陞;道光;二十八;1849;十二;12;十八;18490112;;任;道光;二十九;1849;十一;冬;十三;18491226;命到京;;亦作贵升;;9652;;1794;1855;赵佳;仰堂;;勤武;;保禄;色炳额;;;;;;;;;;;;都林布;花连布;克抟布;;;;;;;;;;;;;;敬文;敬安;经文保;经文多尔吉;;;;;;;;;;;;;满洲;镶红;;;;;武举人;前锋;;;;
2;7271;1;嘉庆;2;1797;嘉庆;8;1803;;翰林院;翰林院八品笔帖式;笔帖式;;643;3;魏秀梅职官表;718;;副都统;3;齐齐哈尔;10;齐齐哈尔副都统;43;从二;文溥;;道光;十四;1834;五;5;十;18340616;;任;道光;十五;1835;四;夏;二十八;18350525;因病解任;解;;;2042;;;1858;伊拉里;;;;;富新;窝克精额;;;;;;;;;;;;全顺;全寿;;;;;;;;;;;;;;;崇喜;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;监生;;;;;
2;7863;1;;;;;;;捐纳;;监生领催;领催;;712;3;魏秀梅职官表;754;;副都统;3;珲春;13;珲春副都统;3;从二;恩泽;;光绪;二十;1889;四;4;十三;18890512;;调;光绪;二十;1894;十;10;二十;18941117;调黑龙江将军;调;;;7333;;;1899;庄噶奇特;雨三;;壮敏;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;长龄;;;;;;;;;;;;;;;;蒙古;镶蓝;;;;;监生;领催;捐纳监生领催;;;
2;5835;1;道光;14;1834;道光;17;1837;;;蓝翎侍卫;蓝翎侍卫;;528;3;魏秀梅职官表;702;;副都统;3;熊岳;8;熊岳副都统;52;从二;希拉布;;咸丰;五;1855;十二;12;二十五;18560201;;任;同治;四;;闰五;夏;;;解;解;离职根据清代各地将军都统大臣等年表;;1305;;;1882;萨克达;;;;;;安福;;;;;;;;;;;;札拉丰阿;瑞林;英麟;;;;;;;;;;;;;;富鲁堪;;;;;;;;;;;;;;;;满洲;镶蓝;;道光;;1;荫生;;;;;
