履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;1703;1;乾隆;5;1740;乾隆;17;1752;;;三等侍卫;三等侍卫;侍卫出身，任职将军次数很多;130;3;;;;副都统;3;吉林;2;吉林副都统;10;从二;增海;;乾隆;二十二;1757;;;;;;;;;;;;;;;;;;1295;;;1773;爱新觉罗;;;勤果;;;;;;;;;;;;;;;德清阿;德襄阿;德舒翁阿;德隆阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
2;2074;1;乾隆;46;1781;乾隆;51;1786;;;三等侍卫;三等侍卫;;155;3;魏秀梅职官表;706;;副都统;3;吉林;2;吉林副都统;35;从二;玉衡;;嘉庆;十五;1810;三;3;十;18100413;;调;嘉庆;十五;1810;八;秋;六;18100904;调伯都讷副都统;调;;;13605;;;1819;爱新觉罗;;;;;;琳宁;;;;;;;;;;;;福崇;哈初贤;瑞良;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;;;;;
2;6531;0;;;;;;;;;;;;574;3;魏秀梅职官表;704;;副都统;3;锦州;9;锦州副都统;32;从二;长庆;;道光;四;1834;五;5;二十三;18340619;;任;道光;四;1825;十二;冬;二十八;18250215;命到京;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7384;0;;;;;;;;;;;;651;3;魏秀梅职官表;718;;副都统;3;齐齐哈尔;10;齐齐哈尔副都统;51;从二;春寿;;同治;五;1866;七;7;五;18660814;;任;同治;七;1868;七;秋;四;18680821;缘事革职;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2896;1;乾隆;;;乾隆;38;1773;;咸安宫;咸安宫官学学习;;;223;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;31;从二;富尼善;;嘉庆;三;1798;二;2;三;17980319;;调;嘉庆;五;1800;十一;冬;;;召;;离职根据吉林通志卷62页16;;1804;;;1802;富察;;;;;;富显;;;;;;;;;;;;庆安;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;2493;1;;;;光绪;;;;;蓝翎侍卫;蓝翎侍卫;侍卫，副都统;186;3;魏秀梅职官表;707;;副都统;3;吉林;2;吉林副都统;66;从二;卓凌阿;;光绪;十五;1889;四;4;十三;18890512;;调;光绪;十五;1889;十一;冬;十五;18891207;卒;卒;离职根据光绪十五年十二月（上）月折档;;4501;;1839;;郭博尔;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;5344;1;乾隆;;;乾隆;;;;;和硕额驸;;;491;3;;;;副都统;3;熊岳;8;熊岳副都统;14;从二;富僧额;富僧格、福增格;乾隆;二十九;1764;一;1;;;福州将军;授;乾隆;三十二;;三;;;;调盛京副都统;调;;;2966;;;;伊尔根觉罗;赞侯;松巖;;;伊桑阿;伊都立;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;5422;1;乾隆;19;1754;乾隆;28;1763;;;前锋;前锋;;499;3;;;;副都统;3;熊岳;8;熊岳副都统;22;从二;乌什哈达;伍什哈达;乾隆;五十三;1788;十一;11;;;齐齐哈尔副都统;调授;乾隆;五十六;;一;;;;调镶红旗蒙古副都统;调;;;0;;;1798;伊尔根觉罗;;;;;;;;;;;;;;;;;;图尔弼;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;7129;1;乾隆;46;1781;乾隆;51;1786;;;三等侍卫;三等侍卫;;633;3;魏秀梅职官表;718;;副都统;3;齐齐哈尔;10;齐齐哈尔副都统;33;从二;玉衡;;嘉庆;八;1803;二;2;二十四;18030317;;调;嘉庆;八;1804;十二;冬;二十七;18040129;缘事革职;革;离职根据嘉道两朝上谕档（八），页498;;13605;;;1819;爱新觉罗;;;;;;琳宁;;;;;;;;;;;;福崇;哈初贤;瑞良;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;;;;;
2;2338;1;同治;5;1866;同治;6;1867;;苏州;苏州织造;;;173;3;魏秀梅职官表;707;;副都统;3;吉林;2;吉林副都统;53;从二;庆林;;同治;四;1865;五;5;二;18650526;;署;同治;;;;;;;;;;;7054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5250;0;;;;;;;;;;;;480;3;;;;副都统;3;熊岳;8;熊岳副都统;3;从二;珠海;;雍正;九;1731;一;1;;;复州城守尉;署;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;4881;0;;;;;;;;;;;;445;3;;;;副都统;3;黑龙江;7;黑龙江副都统;32;从二;索喜;;乾隆;五十二;1787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;3138;1;咸丰;6;1856;咸丰;8;1858;补用;;骁骑校补用;骁骑校;;245;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;53;从二;德平阿;;光绪;六;1880;五;5;十六;18800623;;调;光绪;八;1882;六;夏;二十三;18820806;缘事降调;降;离职根据东华录;;1400;;;1887;何特努特;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶红;;;;;;披甲;;;;
2;5333;1;乾隆;;;乾隆;;;;;[副护军参领];副参领;;490;3;;;;副都统;3;熊岳;8;熊岳副都统;13;从二;书通阿;舒通阿;乾隆;二十七;1762;十二;12;;;阿勒楚喀副都统;调授;乾隆;二十九;;一;;;;调三姓副都统;调;;;4244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;2590;0;;;;;;;;;;;;194;3;;;;副都统;3;宁古塔;3;宁古塔副都统;2;从二;尼喀立;尼哈里;顺治;十五;1658;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;;;;;;
2;3084;0;;;;;;;;;;;;236;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;44;从二;富隆阿;;咸丰;十;1861;十二;12;二十三;18610202;;署;咸丰;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4724;1;康熙;;;康熙;33;1694;;兴京;兴京城守尉;城守尉;;420;3;;;;副都统;3;黑龙江;7;黑龙江副都统;7;从二;耿额;;康熙;三十八;1699;;;;;;;;;;;;;;;;;;0;;;;;;;;;;益三麻;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;;;;;;
