履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;25494;1;嘉庆;2;1797;嘉庆;11;1806;;内阁;内阁中书;中书;;923;2;魏秀梅职官表;819;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;57;正二;多山;;嘉庆;二十三;1818;五;6;;;;;;;;;;;;;;;;691;;;1833;博史克;饶峰;;;;;;;;;;;;;;;;;玉铭;玉英;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正蓝;;乾隆;乙卯;60;进士;;;;;
1;24615;1;康熙;;;康熙;43;1704;;乌程县;乌程县知县;知县;;881;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;15;正二;李永绍;;康熙;六十一;1722;十二;12;;;;;;;;;;;;;;;;9663;;1658;;;绳其;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉;;;康熙;乙丑;24;进士;;;;;
1;25277;1;嘉庆;9;1804;嘉庆;12;1807;;礼部;主事(礼部主事);主事;;918;2;魏秀梅职官表;845;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;52;正二;廉善;;嘉庆;十八;1813;四;4;;;;;;;;;;;;;;;;825;;;1823;格吉勒;淑之;;;;;;;;;;;;;;;;;成顺;成琦;成镇;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;嘉庆;己未;4;进士;;;;;
1;27244;1;光绪;20;1894;光绪;21;1895;;詹事府;詹事府詹事;詹事;;969;2;魏秀梅职官表;907;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;103;正二;钟灵;;光绪;二十二;1896;七;7;;;;;;;;;;;;;;;;0;;;;;秀之;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;光绪;丁丑;6;进士;;;湖广;麻城;
1;26357;1;道光;6;1826;道光;9;1829;;翰林院;翰林院庶吉士;庶吉士;;945;2;魏秀梅职官表;824;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;79;正二;德诚;;道光;十七;1836;十二;12;;;;;;;;;;;;;;;;1412;;1801;1850;爱新觉罗;默庵，默庵;;;;;伊铿额;;;;;;;;;;;;来山;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;道光;丙戌;6;进士;;;;;
1;24625;1;康熙;52;1713;康熙;;;;;分校;;;882;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;16;正二;魏廷珍;;雍正;二;1724;九;9;;;;;;;;;;;;;;;;2498;;1669;1756;魏;君璧、君弼;;文简;;;;;;;;;;;;;;;锡麟;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉;;;康熙;癸巳;52;进士;;;;;
1;26985;1;道光;30;1850;咸丰;2;1852;;翰林院;翰林院庶吉士;庶吉士;;961;2;魏秀梅职官表;931;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;95;正二;载肃;;咸丰;十一;1861;十;10;;;;;;;;;;;;;;;;1624;;1828;1864;爱新觉罗;;;;永瑆;绵懿;奕纪;;;;;;;;;;;;溥松;溥柏;溥棫;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;宗室;道光;庚戌;30;进士;;;辽东;辽阳;
1;24896;1;乾隆;7;1742;乾隆;10;1745;;;庶吉士;庶吉士;;903;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;37;正二;奉宽;丰宽;乾隆;二十;1755;四;4;;;;;;;;;;;;;;;;5542;;;1774;;彰民;;文勤;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;觉罗;乾隆;;7;进士;;;;;
1;24745;1;康熙;54;1715;康熙;60;1721;;;庶吉士;庶吉士;;894;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;28;正二;德新;;乾隆;八;1743;一;1;;;;;;;;;;;;;;;;5496;;1684;;;冶亭;星星;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;康熙;;54;进士;;;;;
1;26736;1;嘉庆;25;1820;道光;6;1826;;刑部;以主事用签分刑部;主事;;955;2;魏秀梅职官表;865;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;89;正二;恒春;;咸丰;三;1853;四;4;;;;;;;;;;;;;;;;2408;;1792;1857;萨达拉;宜亭;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;嘉庆;庚辰;25;进士;;;;;
