履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
3;11;1;乾隆;40;1775;;;;;;蓝翎侍卫;蓝翎侍卫;;4;5;《奉天通志》;3311;;城守尉;5;兴京;1;兴京城守尉;4;正三;福长安;;嘉庆;八;1803;八;;;;;;嘉庆;八;;十一;;;;因放火烧山降骁骑校;;;;984;;;1817;富察;诚斋;;;米思翰;李荣保;傅恒;福隆安;福康安;;;;;;;;;;锡麟;锡龄;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
1;17820;1;康熙;;;;;;;司经局;司经局洗马;;;662;2;;0;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;5;正二;色尔图;;康熙;五十;1711;一;1;;;;;;;;;;;;;;;;17769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
1;4947;1;;;;雍正;11;1733;护;镶红旗;镶红旗护军参领;参领;;197;1;;0;奉天将军;将军;2;盛京;1;奉天将军;27;从一;额尔图;额勒图、额洛图;乾隆;三;1783;五;6;;;;;;;;;;;;;;;;7859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
3;615;1;咸丰;9;1859;同治;2;1863;;盛京;盛京副都统;副都统;;141;5;《奉天通志》;3322;;城守尉;5;复州;5;复州城守尉;13;正三;宝山;;同治;四;1865;;;;;;;;;;;;;;;;;;;清代人物生卒年表(页:3508);1799;1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
1;8529;1;雍正;7;1729;雍正;7;1729;世职;;奉恩辅国公;公;;322;1;;0;吉林将军;将军;3;吉林;2;吉林将军;38;从一;恒禄;恒鲁、亨鲁;乾隆;二十五;1760;十二;12;;;;;;;;;;;;;;;;3139;;;;;;;恭悫;;;德普;;;;;;;;;;;;与兆;与郡;与瑞;;;;;;;;;;;;;;兴兆;兴郡;兴瑞;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;奉恩辅国公;;;;
1;11833;1;乾隆;58;1793;乾隆;60;1795;;;蓝翎侍卫;蓝翎侍卫;;446;1;魏秀梅职官表;815;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;52;从一;富僧德;;道光;十;1830;三;3;;;;;;;;;;;;;;;;1792;;;1846;瓜尔佳;;噶尔萨巴图鲁;武壮;;;;;;;;;;;;;;;定善;多龄;;;;;;;;;;;;;;;景霖;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;亲军;;;;
3;1143;1;乾隆;48;1783;乾隆;50;1785;;;繙译候补笔帖式;笔帖式;;275;5;《奉天通志》;3330;;防守尉;5;熊岳;13;熊岳防守尉;18;正四;爱新保;;光绪;三十;1904;;;;;;;;;;;;;;;;;;826;;1763;1832;依尔根觉罗;;;;;麒麟泰;顺福禄;;;;;;;;;;;;文斌;文发;;;;;;;;;;;;;;;恩培;恩寿;恩多;恩魁;恩栾;;;;;;;;;;;;满洲;正红;;;;;;;;;;
2;1703;1;乾隆;5;1740;乾隆;17;1752;;;三等侍卫;三等侍卫;侍卫出身，任职将军次数很多;130;3;;;;副都统;3;吉林;2;吉林副都统;10;从二;增海;;乾隆;二十二;1757;;;;;;;;;;;;;;;;;;1295;;;1773;爱新觉罗;;;勤果;;;;;;;;;;;;;;;德清阿;德襄阿;德舒翁阿;德隆阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
1;16914;1;道光;1;1821;;;;;;镇国将军;镇国将军;;634;2;魏秀梅职官表;911;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;58;正二;春佑;;道光;二十三;1843;四;4;;;;;;;;;;;;;;;;4540;;1801;1876;爱新觉罗;辅廷;;诚恪;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;铨福;长福;;;;;;;;;;;;;;;满洲;正红;宗室;;;;;镇国将军;道光元年十二月由应封宗室袭三等镇国将军;;;
2;2074;1;乾隆;46;1781;乾隆;51;1786;;;三等侍卫;三等侍卫;;155;3;魏秀梅职官表;706;;副都统;3;吉林;2;吉林副都统;35;从二;玉衡;;嘉庆;十五;1810;三;3;十;18100413;;调;嘉庆;十五;1810;八;秋;六;18100904;调伯都讷副都统;调;;;13605;;;1819;爱新觉罗;;;;;;琳宁;;;;;;;;;;;;福崇;哈初贤;瑞良;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;;;;;
