履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;3765;0;;;;;;;;;;;;322;3;;;;副都统;3;三姓;5;三姓副都统;1;从二;阿米纳;;康熙;五十三;1714;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;3766;0;;;;;;;;;;;;323;3;;;;副都统;3;三姓;5;三姓副都统;2;从二;锡巴立;;康熙;六十;1721;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
2;3767;0;;;;;;;;;;;;324;3;;;;副都统;3;三姓;5;三姓副都统;3;从二;松特;;雍正;四;1726;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
2;3768;0;;;;;;;;;;;;325;3;;;;副都统;3;三姓;5;三姓副都统;4;从二;花赖;;雍正;五;1727;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;3769;0;;;;;;;;;;;;326;3;;;;副都统;3;三姓;5;三姓副都统;5;从二;重替;;雍正;八;1730;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;宗室;;;;;;;;;
2;3770;1;乾隆;36;1771;乾隆;47;1782;;;赏戴蓝翎;蓝翎;;327;3;;;;副都统;3;三姓;5;三姓副都统;6;从二;七十五;;雍正;七;1729;;;;;;;;;;;;;;;;;;175;;;1803;瓜尔佳;;;;;;九格;;;;;;;;;;;;武隆阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;3791;0;;;;;;;;;;;;328;3;;;;副都统;3;三姓;5;三姓副都统;7;从二;重替;;乾隆;一;1736;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;3792;1;乾隆;;;乾隆;7;1742;;镶红旗;[镶红旗满洲协领];协领;副都统、将军;329;3;;;;副都统;3;三姓;5;三姓副都统;8;从二;清葆;;乾隆;九;1744;;;;;;;;;;;;;;;;;;1894;;;;;;;;;;;德昌;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;3807;1;乾隆;;;乾隆;20;1755;;户部;户部江南司郎中;郎中;;330;3;;;;副都统;3;三姓;5;三姓副都统;9;从二;德宁;德厚;乾隆;十八;1753;;;;;;;;;;;;;;;;;;5514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
2;3814;1;乾隆;;;乾隆;;;;;乌鎗章京;;;331;3;;;;副都统;3;三姓;5;三姓副都统;10;从二;三格;;乾隆;十八;1753;;;;;;;;;;;;;;;;;;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;3820;0;;;;;;;;;;;;332;3;;;;副都统;3;三姓;5;三姓副都统;11;从二;傅尓松阿;;乾隆;十九;1754;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;3821;1;雍正;9;1731;雍正;13;1735;;三姓;蓝翎侍卫;蓝翎侍卫;;333;3;;;;副都统;3;三姓;5;三姓副都统;12;从二;富僧阿;福僧阿、富僧格;乾隆;二十三;1758;;;;;;;;;;;;;;;;;;1796;;;;舒木鲁;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;3837;1;乾隆;1;1736;乾隆;39;1774;;;骑都尉又一云骑尉;骑都尉;世职、五十功臣;334;3;;;;副都统;3;三姓;5;三姓副都统;13;从二;敦住;敦柱;乾隆;二十四;1759;;;;;;;;;;;;;;;;;;14256;;;;瓜尔佳;;;;;;马尔萨;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;骑都尉;;;;
2;3847;0;;;;;;;;;;;;335;3;;;;副都统;3;三姓;5;三姓副都统;14;从二;巴岱;八岱;乾隆;二十四;1759;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;3848;0;;;;;;;;;;;;336;3;;;;副都统;3;三姓;5;三姓副都统;15;从二;额尔奇木;额尔奇玛;乾隆;二十六;1761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶蓝;;;;;;;;;;
2;3849;1;乾隆;1;1736;乾隆;39;1774;;;骑都尉又一云骑尉;骑都尉;;337;3;;;;副都统;3;三姓;5;三姓副都统;16;从二;敦住;敦柱;乾隆;二十七;1762;;;;;;;;;;;;;;;;;;14256;;;;瓜尔佳;;;;;;马尔萨;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;骑都尉;;;;
2;3859;1;乾隆;;;乾隆;;;;;[副护军参领];副参领;;338;3;;;;副都统;3;三姓;5;三姓副都统;17;从二;书通阿;舒通阿;乾隆;三十;1765;;;;;;;;;;;;;;;;;;4244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
