履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;24583;1;康熙;;;康熙;27;1688;;工部;工部笔帖式;笔帖式;;879;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;13;正二;贝和诺;贝和讷;康熙;五十;1711;十一;11;;;;;;;;;;;;;;;;2453;;1647;1721;;;;;;济席哈;;;;;;;;;;;;;马喇;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;笔帖式;;;;;
1;24656;1;康熙;46;1707;康熙;57;1718;;理藩院;理藩院笔帖式;笔帖式;;885;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;19;正二;通智;;雍正;五;1727;十一;11;;;;;;;;;;;;;;;;1920;;;1757;马佳;;;;;;;;;;;;;;;;;;那丹珠;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;监生;;;;;
1;24686;1;康熙;36;1697;康熙;;;;内阁;内阁中书;中书;;891;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;25;正二;法敏;;乾隆;四;1739;六;6;;;;;;;;;;;;;;;;2688;;;1742;伊拉哩;;;;;;伊拉哩阿山;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;监生;;;;;
1;24874;1;康熙;;;康熙;;;;;数理精蕴誊录;;;902;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;36;正二;赫赫;;乾隆;二十;1755;二;2;;;;;;;;;;;;;;;;1510;;1767;1767;宁古塔;;;;;;;;;;;;;;;;;;德成;佛尔庆额;;;;;;;;;;;;;;;庆奎;七格;庆舒;;;;;;;;;;;;;;满洲;正黄;;;;;监生;;;;;
1;24996;1;;;;雍正;13;1735;;内阁;内阁学习中书;中书;;907;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;41;正二;富察善;;乾隆;四十;1775;十;10;;;;;;;;;;;;;;;;1790;;1713;1786;富察;;;;;;托庸;;;;;;;;;;;;富伦岱;富伦布;富伦达;;;;;;;;;;;;;;喀尔冲阿;春晖;春昭;春明;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
1;25014;0;;;;;;;;;;;;908;2;魏秀梅职官表;824;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;42;正二;福德;;乾隆;四十三;1778;十一;11;;;;;;;;;;;;;;;;0;;;1809;那拉;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;荫生;;;;;
1;25035;1;乾隆;35;1770;乾隆;44;1779;;内阁;内阁中书;中书;;910;2;魏秀梅职官表;816;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;44;正二;傅森;;乾隆;五十六;1791;一;1;;;;;;;;;;;;;;;;2374;;;1801;钮祜禄;;;;;;;;;;;;;;;;;;英林;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
1;25101;1;乾隆;;;乾隆;36;1771;;内务府;内务府笔帖式;笔帖式;;913;2;魏秀梅职官表;799;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;47;正二;巴宁阿;;嘉庆;七;1802;十二;12;;;;;;;;;;;;;;;;0;;;1813;汪;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正白;;;;;笔帖式;;;;;
1;25177;1;乾隆;;;乾隆;;;;内阁;中书;中书;;915;2;魏秀梅职官表;933;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;49;正二;策丹;;嘉庆;十一;1806;八;8;;;;;;;;;;;;;;;;734;;;1818;托克托莫忒;;;;;;;;;;;;;;;;;;成禄;成玺;成璧;成珪;成琳;;;;;;;;;;;;明训;明谊;;;;;;;;;;;;;;;蒙古;正黄;;;;;官学生;;;;;
1;25399;1;乾隆;44;1779;乾隆;46;1781;;太仆寺;太仆寺笔帖式;笔帖式;;920;2;魏秀梅职官表;819;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;54;正二;多福;;嘉庆;二十一;1816;十;10;;;;;;;;;;;;;;;;698;;;1824;叶赫那拉;;;;;;;;;;;;;;;;;;毓书;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;官学生;;;;;
