履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;6531;0;;;;;;;;;;;;574;3;魏秀梅职官表;704;;副都统;3;锦州;9;锦州副都统;32;从二;长庆;;道光;四;1834;五;5;二十三;18340619;;任;道光;四;1825;十二;冬;二十八;18250215;命到京;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6244;1;乾隆;;;乾隆;;;;;前锋侍卫;;;559;3;;;;副都统;3;锦州;9;锦州副都统;17;从二;素保;苏保;乾隆;三十五;1770;一;1;;;山海关副都统;调授;;三十五;;五;;;;解;解;;;4631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;6311;0;;;;;;;;;;;;563;3;;;;副都统;3;锦州;9;锦州副都统;21;从二;萨克慎;;乾隆;四十八;1783;十二;12;;;镶白旗汉军副都统;调授;;五十五;;十二;;;;降;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
2;6182;1;乾隆;;;乾隆;;;;;监察御史;监察御史;;555;3;;;;副都统;3;锦州;9;锦州副都统;13;从二;恩丕;;乾隆;二十七;1762;十二;12;;;吏部右侍郎;授;;二十八;;七;;;;革;革;;;4148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;;;;;;
2;6124;0;;;;;;;;;;;;543;3;;;;副都统;3;锦州;9;锦州副都统;1;从二;图尔赛;图里赛;雍正;五;1727;六;6;;;;;;五;;十;;;;调熊岳副都统;调;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
2;6705;1;咸丰;1;1851;;;;;;[骁骑校];骁骑校;;584;3;魏秀梅职官表;704;;副都统;3;锦州;9;锦州副都统;42;从二;恩合;;同治;一;1862;四;4;二十七;18620525;;署;同治;;;;;;;;;;;6674;;;1888;;海岚;;;;;塔芬布;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;;;;;;
2;6227;1;乾隆;;;乾隆;;;;;和硕额驸;;;558;3;;;;副都统;3;锦州;9;锦州副都统;16;从二;福僧阿;富僧额、福僧阿;乾隆;三十三;1768;一;1;;;圆明园总管;授;;三十五;;一;;;;解;解;;;2966;;;;伊尔根觉罗;赞侯;松巖;;;伊桑阿;伊都立;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;6290;0;;;;;;;;;;;;561;3;;;;副都统;3;锦州;9;锦州副都统;19;从二;安林;安临、安麟;乾隆;四十三;1778;十二;12;;;辽阳城守尉;授;;四十八;;二;;;;调宁古塔副都统;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;6808;1;咸丰;;;咸丰;10;1860;;;笔帖式;笔帖式;;590;3;魏秀梅职官表;705;;副都统;3;锦州;9;锦州副都统;48;从二;丰绅;;同治;十;1871;四;4;二十七;18710614;;任;同治;十三;1874;一;春;二十九;18740317;调黑龙江将军;调;护宁夏将军，未到任前，仍以古尼音布署;;1145;;1845;1898;吴扎拉;汉文;;威壮;;;;;;;;;;;;;;;舒通阿;舒隆阿;;;;;;;;;;;;;;;祥顺;祥德;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;6694;0;;;;;;;;;;;;582;3;魏秀梅职官表;704;;副都统;3;锦州;9;锦州副都统;40;从二;定福;;咸丰;三;1853;六;6;三;18530708;;任;咸丰;六;1856;四;夏;十五;18560518;调山海关副都统;调;四年正月二日又书调定福为锦州副都统（文宗实录卷117页7）三年六月三日可能输;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
