履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;5080;1;道光;;;道光;;;;工部;工部笔帖式;笔帖式;;459;3;魏秀梅职官表;716;;副都统;3;黑龙江;7;黑龙江副都统;46;从二;积拉明阿;;咸丰;七;1857;七;7;十一;18570830;;任;咸丰;九;1859;二;春;十二;18590316;缘事撤任;;三月四日改革职留任，五月十六日革任（亦作吉拉明阿）;;7509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;官学生;;;;;
1;12598;1;光绪;10;1884;光绪;18;1892;;齐齐哈尔;齐齐哈尔参领;参领;;480;1;魏秀梅职官表;919;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;86;从一;绰哈布;;光绪;二十六;1900;九;9;;;;;;;;;;;;;;;;1524;;1852;1908;张佳;胜亭;;武勤;;;;;;;;;;;;;;;桂龄;;;;;;;;;;;;;;;;崇祥;;;;;;;;;;;;;;;;满洲;正黄;;;;;荫生;;;;;
1;11152;1;乾隆;;;乾隆;26;1761;;宗人府;宗人府效力笔帖式;笔帖式;;424;1;魏秀梅职官表;844;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;30;从一;琳宁;;乾隆;五十三;1788;十二;12;;;;;;;;;;;;;;;;1627;;;1805;爱新觉罗;;;勤僖;;;;;;;;;;;;;;;玉庆;玉衡;玉福;玉昌;玉英;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;笔帖式;;;;;
1;12537;1;光绪;3;1877;光绪;9;1883;;黑龙江;在黑龙江城学习当差;;;478;1;魏秀梅职官表;926;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;84;从一;寿山;;光绪;二十五;1899;十二;12;;;;;;;;;;;;;;;;1457;;1860;1900;袁;眉峰;;;常在;赶年;富明阿;永山;;;;;;;;;;;庆恩;庆伦;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正白;;;;;荫生;;;;;
1;12332;1;咸丰;;;同治;1;1862;;镶黄旗;镶黄旗汉军参领;参领;;463;1;魏秀梅职官表;803;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;69;从一;宝善;;同治;三;1864;;;;;;;;;;;;;;;;;;1228;;;1836;觉尔察;春皋;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;笔帖式;;;;;
1;11649;1;;;;咸丰;7;1857;捐;;赞礼郎衔笔帖式(捐纳);笔帖式;;440;1;魏秀梅职官表;935;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;46;从一;松菻;松林;道光;二;1822;六;6;;;;;;;;;;;;;;;;0;;;1823;玛拉特;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正蓝;;;;;官学生;;;;;
1;12092;1;嘉庆;4;1799;嘉庆;14;1809;;宗人府;宗人府笔帖式;笔帖式;;453;1;魏秀梅职官表;889;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;59;从一;祥康;;道光;十五;1835;二;2;;;;;;;;;;;;;;;;4794;;1780;1843;爱新觉罗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;宗室;;;;笔帖式;;;;;
1;12188;1;嘉庆;15;1810;嘉庆;19;1814;;;散秩大臣;;;457;1;魏秀梅职官表;856;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;63;从一;棍楚克策楞;;道光;十九;1839;九;9;;;;;;;;;;;;;;;;4779;;1779;1847;博尔济吉特;;;简悫;;;;富连;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;荫生;;;;;
1;12420;1;咸丰;10;1860;同治;5;1866;;;散秩大臣;;;469;1;魏秀梅职官表;885;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;75;从一;希元;;光绪;五;1879;十一;11;;;;;;;;;;;;;;;;4815;;1843;1894;伍弥忒;赞臣;;;德楞泰;苏冲阿;倭什讷;;;;;;;;;;;;世榕;世枢;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正黄;;;;;荫生;;;;;
2;5174;1;光绪;3;1877;光绪;9;1883;;黑龙江;在黑龙江城学习当差;;经历丰富;472;3;魏秀梅职官表;717;;副都统;3;黑龙江;7;黑龙江副都统;59;从二;寿山;;光绪;二十四;1898;八;8;二十三;18981008;;任;光绪;二十五;1900;十二;冬;二十三;19000123;署将军;;;;1457;;1859;1900;袁;眉峰;;;常在;赶年;富明阿;永山;;;;;;;;;;;庆恩;庆伦;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;正白;;;;;荫生;;;;;
