履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;2896;1;乾隆;;;乾隆;38;1773;;咸安宫;咸安宫官学学习;;;223;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;31;从二;富尼善;;嘉庆;三;1798;二;2;三;17980319;;调;嘉庆;五;1800;十一;冬;;;召;;离职根据吉林通志卷62页16;;1804;;;1802;富察;;;;;;富显;;;;;;;;;;;;庆安;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;3138;1;咸丰;6;1856;咸丰;8;1858;补用;;骁骑校补用;骁骑校;;245;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;53;从二;德平阿;;光绪;六;1880;五;5;十六;18800623;;调;光绪;八;1882;六;夏;二十三;18820806;缘事降调;降;离职根据东华录;;1400;;;1887;何特努特;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶红;;;;;;披甲;;;;
2;2590;0;;;;;;;;;;;;194;3;;;;副都统;3;宁古塔;3;宁古塔副都统;2;从二;尼喀立;尼哈里;顺治;十五;1658;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;;;;;;
2;3084;0;;;;;;;;;;;;236;3;魏秀梅职官表;708;;副都统;3;宁古塔;3;宁古塔副都统;44;从二;富隆阿;;咸丰;十;1861;十二;12;二十三;18610202;;署;咸丰;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2647;0;;;;;;;;;;;;205;3;;;;副都统;3;宁古塔;3;宁古塔副都统;13;从二;玛奇;马齐;康熙;四十六;1707;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
2;2849;0;;;;;;;;;;;;220;3;;;;副都统;3;宁古塔;3;宁古塔副都统;28;从二;安林;安临、安麟;乾隆;四十八;1783;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;2691;1;雍正;9;1731;雍正;13;1735;;三姓;蓝翎侍卫;蓝翎侍卫;侍卫-副都统-将军;214;3;;;;副都统;3;宁古塔;3;宁古塔副都统;22;从二;富僧阿;福僧阿、富僧格;乾隆;二十四;1759;;;;;;;;;;;;;;;;;;1796;;;;舒木鲁;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;2707;1;乾隆;5;1740;乾隆;17;1752;;;三等侍卫;三等侍卫;侍卫-副都统-将军;215;3;;;;副都统;3;宁古塔;3;宁古塔副都统;23;从二;增海;;乾隆;二十四;1759;;;;;;;;;;;;;;;;;;1295;;;1773;爱新觉罗;;;勤果;;;;;;;;;;;;;;;德清阿;德襄阿;德舒翁阿;德隆阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
2;2632;1;;;;康熙;16;1677;;詹事府;詹事府少詹事;少詹事;;204;3;;;;副都统;3;宁古塔;3;宁古塔副都统;12;从二;噶尔图;;康熙;四十二;1703;;;;;;;;;;;;;;;;;;6274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
2;3209;1;光绪;;;光绪;23;1897;;;二等侍卫;二等侍卫;;251;3;魏秀梅职官表;709;;副都统;3;宁古塔;3;宁古塔副都统;59;从二;全福;;光绪;二十七;1901;四;4;二十八;19010614;;任;光绪;二十八;1902;九;秋;十五;19021016;因病解职;病;;;8630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
