履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
2;5344;1;乾隆;;;乾隆;;;;;和硕额驸;;;491;3;;;;副都统;3;熊岳;8;熊岳副都统;14;从二;富僧额;富僧格、福增格;乾隆;二十九;1764;一;1;;;福州将军;授;乾隆;三十二;;三;;;;调盛京副都统;调;;;2966;;;;伊尔根觉罗;赞侯;松巖;;;伊桑阿;伊都立;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;5422;1;乾隆;19;1754;乾隆;28;1763;;;前锋;前锋;;499;3;;;;副都统;3;熊岳;8;熊岳副都统;22;从二;乌什哈达;伍什哈达;乾隆;五十三;1788;十一;11;;;齐齐哈尔副都统;调授;乾隆;五十六;;一;;;;调镶红旗蒙古副都统;调;;;0;;;1798;伊尔根觉罗;;;;;;;;;;;;;;;;;;图尔弼;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;5250;0;;;;;;;;;;;;480;3;;;;副都统;3;熊岳;8;熊岳副都统;3;从二;珠海;;雍正;九;1731;一;1;;;复州城守尉;署;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;5333;1;乾隆;;;乾隆;;;;;[副护军参领];副参领;;490;3;;;;副都统;3;熊岳;8;熊岳副都统;13;从二;书通阿;舒通阿;乾隆;二十七;1762;十二;12;;;阿勒楚喀副都统;调授;乾隆;二十九;;一;;;;调三姓副都统;调;;;4244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;6095;0;;;;;;;;;;;;538;3;魏秀梅职官表;703;;副都统;3;熊岳;8;熊岳副都统;62;从二;德升阿;德陞阿;光绪;二十;1894;十二;12;十二;18950107;;任;光绪;二十一;1896;十;冬;;;解;解;离职根据清代各地将军都统大臣等年表;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
2;5531;1;嘉庆;2;1797;嘉庆;2;1797;;;委署前锋校;前锋校;;507;3;魏秀梅职官表;702;;副都统;3;熊岳;8;熊岳副都统;31;从二;禄成;;嘉庆;十四;1809;三;3;十六;18090430;;任;嘉庆;十四;1809;六;夏;十九;18090721;调吉林副都统;调;;;1453;;1773;1828;和舍里;;逊勇阿巴图鲁;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正红;;;;;;;;;;
2;5249;0;;;;;;;;;;;;479;3;;;;副都统;3;熊岳;8;熊岳副都统;2;从二;额尔钦;额尔勤、额尔谨;雍正;八;1730;一;1;;;奉天副都统;调授;乾隆;七;;七;;;;卒;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
2;5381;0;;;;;;;;;;;;494;3;;;;副都统;3;熊岳;8;熊岳副都统;17;从二;僧保;;乾隆;三十七;1774;十一;11;;;吉林副都统;调授;乾隆;四十一;;十一;;;;卒;卒;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
2;5625;1;乾隆;50;1785;乾隆;55;1790;;;佐领;佐领;;516;3;魏秀梅职官表;702;;副都统;3;熊岳;8;熊岳副都统;40;从二;国祥;;道光;十四;1834;八;8;二十二;18340924;;调;道光;十七;1837;九;秋;一;18370930;因病解任;解;;;4491;;1769;1837;爱新觉罗;;;;;;;;;;;;;;;;;;润寿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;觉罗;;;;;;;;;
2;5965;1;嘉庆;;;嘉庆;25;1820;;会典馆;会典馆繙译官正红旗官学满教习领催;领催;;530;3;魏秀梅职官表;703;;副都统;3;熊岳;8;熊岳副都统;54;从二;毓福;;同治;十三;1874;七;7;二十二;18740902;;调;光绪;一;1875;三;春;二十九;18750504;缘事开缺听候部议;;;;6217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
