履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;20423;0;;;;;;;;;;;;759;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;15;正二;玛金泰;马进泰;康熙;五十五;1716;三;3;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
1;20358;1;;;;;;;;礼部;礼部笔帖式;笔帖式;;746;2;;;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;2;正二;杭爱;杭艾;康熙;九;1670;三;3;;;;;;;;;;;;;;;;2653;;;1683;黄佳;;;勤襄;;;古尔嘉珲;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
1;20399;0;;;;;;;;;;;;750;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;6;正二;邬赫;五和;康熙;二十九;1690;四;4;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
1;21640;1;道光;24;1844;道光;;;;太常寺;太常寺学习读祝官;;;798;2;魏秀梅职官表;928;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;54;正二;瑞麟;;嘉庆;二十三;1818;十一;11;;;;;;;;;;;;;;;;890;;1809;1874;叶赫那喇;澄泉;;文庄;额尔恒额;富明阿;庆泰;;;;;;;;;;;;怀塔布;佛呢音布;花沙布;哈芬布;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
1;20380;1;同治;7;1868;;;;;;庶吉士;庶吉士;;749;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;5;正二;五十八;吴什巴;康熙;二十七;1688;十;10;;;;;;;;;;;;;;;;4995;;1835;1902;吴;清卿，止敬;愙斋，恒轩，二田居士，白云山樵，白云病叟，恒轩;;传烈;经堃;立纲;澹人;;;;;;;;;;;本孝;;;;;;;;;;;;;;;;翼燕;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;;;;;
1;20364;1;;;;康熙;16;1677;;詹事府;詹事府少詹事;少詹事;;747;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;3;正二;噶尔图;;康熙;二十一;1682;七;7;;;;;;;;;;;;;;;;6274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;;;;;;
1;20402;0;;;;;;;;;;;;753;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;9;正二;额赫里;额赫礼、鄂和里;康熙;三十四;1695;六;6;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
1;20755;1;乾隆;9;1744;;;;;刑部;刑部员外郎;员外郎;;775;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;31;正二;伊禄顺;;乾隆;二十三;1758;四;4;;;;;;;;;;;;;;;;5311;;;1761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
1;21212;1;乾隆;28;1763;乾隆;34;1769;;;侍卫处笔帖式;笔帖式;;789;2;魏秀梅职官表;857;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;45;正二;庚音;永龄;嘉庆;五;1800;十;10;;;;;;;;;;;;;;;;0;;;1815;姜佳;;;;;;;;;;;;;;;;;;巴哈布;;;;;;;;;;;;;;;;积尔杭阿;噶尔桑阿;;;;;;;;;;;;;;;满洲;正黄;;;;;;亲军;;;;
1;20616;1;乾隆;1;1736;乾隆;2;1737;;翰林院;翰林院庶吉士;庶吉士;;769;2;;0;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;25;正二;钟音;;乾隆;十三;1748;七;7;;;;;;;;;;;;;;;;1104;;;1778;觉尔察;;;文恪;;;;;;;;;;;;;;;恩庆;恩明;恩长;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;;;;;
