履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
3;11;1;乾隆;40;1775;;;;;;蓝翎侍卫;蓝翎侍卫;;4;5;《奉天通志》;3311;;城守尉;5;兴京;1;兴京城守尉;4;正三;福长安;;嘉庆;八;1803;八;;;;;;嘉庆;八;;十一;;;;因放火烧山降骁骑校;;;;984;;;1817;富察;诚斋;;;米思翰;李荣保;傅恒;福隆安;福康安;;;;;;;;;;锡麟;锡龄;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;615;1;咸丰;9;1859;同治;2;1863;;盛京;盛京副都统;副都统;;141;5;《奉天通志》;3322;;城守尉;5;复州;5;复州城守尉;13;正三;宝山;;同治;四;1865;;;;;;;;;;;;;;;;;;;清代人物生卒年表(页:3508);1799;1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
3;320;0;;;;;;;;;;;;55;5;《奉天通志》;3305;;城守尉;5;开原;3;开原城守尉;9;正三;留保住;刘保住;乾隆;二十一;1756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
3;806;1;咸丰;4;1854;同治;5;1866;捐输赏给;;三等侍卫(捐输赏给);三等侍卫;;193;5;《奉天通志》;3326;;城守尉;5;盖州;7;盖州城守尉;23;正三;恒元;;光绪;二;1876;;;;;;;光绪;七;;二;;;;加副都统衔;;;;13932;;1820;1887;爱新觉罗;心斋;;;明赫;肃章阿;万祥;昆德;亨麟;亨昌;亨安;;;;;;;;英慈;英蕚;英芳;英聪;英宽;英莱;英恕;;;;;;;;;;荣寿;寿全;定寿;定保;;;;;;;;;;;;;满洲;镶红;宗室;;;;;;宗室;;;
3;744;0;;;;;;;;;;;;182;5;《奉天通志》;3318;;城守尉;5;金州;7;金州城守尉;12;正三;福敬;;道光;九;1829;;;;;;;道光;九;;十;;;;升阿勒楚喀副都统;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;413;1;光绪;;;;;;;;管带;;;87;5;《奉天通志》;3325;;城守尉;5;开原;3;开原城守尉;41;正三;明志;;光绪;二十四;1898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;宗室;;;;;;;;;
3;505;0;;;;;;;;;;;;108;5;《奉天通志》;3315;;城守尉;5;凤凰城;4;凤凰城守尉;19;正三;普通;;道光;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;695;0;;;;;;;;;;;;168;5;《奉天通志》;3328;;城守尉;5;义州;6;义州城守尉;19;正三;义秀;;光绪;十五;1889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;905;0;;;;;;;;;;;;213;5;《奉天通志》;3306;;城守尉;5;岫岩;9;岫岩城守尉;2;正三;沙布东阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;904;0;;;;;;;;;;;;212;5;《奉天通志》;3306;;城守尉;5;岫岩;9;岫岩城守尉;1;正三;富健;;;;;;;;;;;乾隆;三十九;;十二;;;;以旗仓出粜减价过多议处;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
