履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;20;1;顺治;;;顺治;9;1652;;太原府;太原府推官;;;5;4;;0;奉天府;府尹;1;盛京;1;奉天府府尹;5;正三;王印祚;王景祚、王胤祚、王允祚;康熙;六;1667;;;;;;;;;;;;;;;;;;4079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;王以巽;;;;;;;;;;;;;;;;汉;;;顺治;丙戌;;进士;;;;;
1;245;1;康熙;;;;;;;福建;福建道监察御史;监察御史;;28;4;;0;奉天府;府尹;1;盛京;1;奉天府府尹;28;正三;邹汝鲁;;康熙;六十一;1722;三;3;;;;;;;;;;;;;;;;6744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉;;;康熙;辛未;30;进士;;;;;
1;1787;1;光绪;23;1897;;;;;奉天;奉天府府尹;府尹;;97;4;魏秀梅职官表;827;奉天府;府尹;1;盛京;1;奉天府府尹;97;正三;廷杰;;光绪;二十三;1897;六;6;;;;;;;;;;;;;;;;0;;1841;1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;光绪;丙子;2;进士;;;;;
1;774;1;嘉庆;4;1799;嘉庆;6;1801;;;庶吉士;庶吉士;;63;4;魏秀梅职官表;856;奉天府;府尹;1;盛京;1;奉天府府尹;63;正三;贵庆;;嘉庆;二十;1815;;;;;;;;;;;;;;;;;;761;;;1847;富察;云白;月山;;;;观成;;;;;;;;;;;;瑞珍;瑞琇;;;;;;;;;;;;;;;贤良;阿良;;;;;;;;;;;;;;;满洲;镶白;;嘉庆;己未;4;进士;;;;;
1;1276;1;嘉庆;23;1818;道光;6;1826;;;景山官学满教习;;;78;4;魏秀梅职官表;910;奉天府;府尹;1;盛京;1;奉天府府尹;78;正三;长臻;;咸丰;三;1853;一;1;;;;;;;;;;;;;;;;4125;;;1855;张;晴岩;;;;;;;;;;;;;;;;;广麒;;;;;;;;;;;;;;;;舜辅;;;;;;;;;;;;;;;;汉军;镶黄;;道光;;6;翻译进士;;;;;
1;1104;1;道光;13;1833;道光;15;1835;;翰林院;翰林院庶吉士;庶吉士;;75;4;魏秀梅职官表;817;奉天府;府尹;1;盛京;1;奉天府府尹;75;正三;福济;;咸丰;二;1852;十;10;;;;;;;;;;;;;;;;1506;;;1875;必禄;元修;;;;;恩庆;;;;;;;;;;;;长霖;;;;;;;;;;;;;;;;善佺;;;;;;;;;;;;;;;;满洲;镶白;;道光;癸巳;13;进士;;;;;
1;1410;1;道光;15;1835;道光;16;1836;;;庶吉士;庶吉士;;82;4;魏秀梅职官表;875;奉天府;府尹;1;盛京;1;奉天府府尹;82;正三;景霖;;咸丰;五;1855;二;2;;;;;;;;;;;;;;;;7758;;1814;;瓜尔佳;星桥;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;道光;己未;15;进士;;;;;
1;227;1;康熙;;;康熙;43;1704;;直隶;直隶蔚县知县;知县;;25;4;;0;奉天府;府尹;1;盛京;1;奉天府府尹;25;正三;屠沂;;康熙;五十六;1717;十一;11;;;;;;;;;;;;;;;;7947;;;1725;;艾山;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉;;;康熙;甲戌;33;进士;;;;;
1;1243;1;嘉庆;25;1820;道光;6;1826;;刑部;以主事用签分刑部;主事;;77;4;魏秀梅职官表;865;奉天府;府尹;1;盛京;1;奉天府府尹;77;正三;恒春;;咸丰;三;1853;一;1;;;;;;;;;;;;;;;;2408;;1792;1857;萨达拉;宜亭;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;嘉庆;庚辰;25;进士;;;;;
1;60;0;;;;;;;;;;;;8;4;;0;奉天府;府尹;1;盛京;1;奉天府府尹;8;正三;耿效忠;;康熙;十二;1673;十一;11;;;;;;;;;;;;;;;;181090;;1635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉;;;顺治;乙未;;进士;;;;;
