履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;21170;1;乾隆;55;1790;乾隆;57;1792;;刑部;刑部主事(以主事用分刑部);主事;;788;2;魏秀梅职官表;871;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;44;正二;瑚素通阿;瑚图灵阿瑚素通阿瑚图玲阿;嘉庆;五;1800;二;2;;;;;;;;;;;;;;;;0;;;1808;鄂济;;;;;;宜绵;札勒杭阿;富珠隆阿;乌什杭阿;;;;;;;;;阿尔祜达;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;乾隆;丁未;52;进士;;;;;
1;14597;1;道光;18;1838;道光;25;1845;;刑部;刑部笔帖式;笔帖式;;559;2;魏秀梅职官表;803;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;76;正二;宝珣;;同治;二;1863;十二;12;;;;;;;;;;;;;;;;1097;;1815;1878;马佳;东山;;;;;升寅;;;;;;;;;;;;绍英;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;道光;辛丑;21;进士;;;;;
1;15431;1;光绪;6;1880;光绪;9;1883;;;庶吉士;庶吉士;;574;2;魏秀梅职官表;938;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;91;正二;萨廉;;光绪;二十七;1901;;;;;;;;;;;;;;;;;;8884;;;1844;郭佳;俭齐;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;光绪;庚辰;6;进士;;;;;
1;17768;1;光绪;12;1886;光绪;15;1889;;;庶吉士[三甲庶吉士];庶吉士;;657;2;魏秀梅职官表;874;盛京礼部;侍郎;6;盛京五部;4;盛京礼部侍郎;81;正二;景厚;;光绪;二十九;1903;一;1;;;;;;;;;;;;;;;;7605;;1847;;爱新觉罗;燮甫，敦甫;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;光绪;丙戌;12;进士;;;;;
1;13821;1;嘉庆;2;1797;嘉庆;11;1806;;内阁;内阁中书;中书;;540;2;魏秀梅职官表;819;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;57;正二;多山;;道光;八;1828;九;9;;;;;;;;;;;;;;;;691;;;1833;博史克;饶峰;;;;;;;;;;;;;;;;;玉铭;玉英;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正蓝;;乾隆;乙卯;60;进士;;;;;
1;25494;1;嘉庆;2;1797;嘉庆;11;1806;;内阁;内阁中书;中书;;923;2;魏秀梅职官表;819;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;57;正二;多山;;嘉庆;二十三;1818;五;6;;;;;;;;;;;;;;;;691;;;1833;博史克;饶峰;;;;;;;;;;;;;;;;;玉铭;玉英;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;正蓝;;乾隆;乙卯;60;进士;;;;;
1;21411;1;乾隆;36;1771;乾隆;;;;户部;[户部额外主事上学习行走](额外主事派户部学习);主事;;794;2;魏秀梅职官表;863;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;50;正二;和宁;和瑛;嘉庆;十六;1811;三;3;;;;;;;;;;;;;;;;876;;;1821;额勒德特;太庵;;简勤;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶黄;;乾隆;;36;进士;;;;;
1;24615;1;康熙;;;康熙;43;1704;;乌程县;乌程县知县;知县;;881;2;;0;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;15;正二;李永绍;;康熙;六十一;1722;十二;12;;;;;;;;;;;;;;;;9663;;1658;;;绳其;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉;;;康熙;乙丑;24;进士;;;;;
1;18254;1;乾隆;40;1775;乾隆;42;1777;;吏部;吏部主事;主事;;689;2;魏秀梅职官表;831;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;32;正二;铁保;;嘉庆;四;1799;二;2;;;;;;;;;;;;;;;;367;;1752;1824;栋鄂;治亭，铁卿，楳庵;梅庵，梅葊;恭勤;赛柱;富起臣;诚泰;玉保;;;;;;;;;;;瑞元;瑞恩;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;乾隆;壬辰;37;进士;;;;;
1;22510;1;嘉庆;4;1799;嘉庆;6;1801;;;庶吉士;庶吉士;;817;2;魏秀梅职官表;856;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;73;正二;贵庆;;道光;十四;1834;五;6;;;;;;;;;;;;;;;;761;;;1847;富察;云白;月山;;;;观成;;;;;;;;;;;;瑞珍;瑞琇;;;;;;;;;;;;;;;贤良;阿良;;;;;;;;;;;;;;;满洲;镶白;;嘉庆;己未;4;进士;;;;;
