履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;21170;1;乾隆;55;1790;乾隆;57;1792;;刑部;刑部主事(以主事用分刑部);主事;;788;2;魏秀梅职官表;871;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;44;正二;瑚素通阿;瑚图灵阿瑚素通阿瑚图玲阿;嘉庆;五;1800;二;2;;;;;;;;;;;;;;;;0;;;1808;鄂济;;;;;;宜绵;札勒杭阿;富珠隆阿;乌什杭阿;;;;;;;;;阿尔祜达;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;乾隆;丁未;52;进士;;;;;
1;21411;1;乾隆;36;1771;乾隆;;;;户部;[户部额外主事上学习行走](额外主事派户部学习);主事;;794;2;魏秀梅职官表;863;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;50;正二;和宁;和瑛;嘉庆;十六;1811;三;3;;;;;;;;;;;;;;;;876;;;1821;额勒德特;太庵;;简勤;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;蒙古;镶黄;;乾隆;;36;进士;;;;;
1;22510;1;嘉庆;4;1799;嘉庆;6;1801;;;庶吉士;庶吉士;;817;2;魏秀梅职官表;856;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;73;正二;贵庆;;道光;十四;1834;五;6;;;;;;;;;;;;;;;;761;;;1847;富察;云白;月山;;;;观成;;;;;;;;;;;;瑞珍;瑞琇;;;;;;;;;;;;;;;贤良;阿良;;;;;;;;;;;;;;;满洲;镶白;;嘉庆;己未;4;进士;;;;;
1;22209;1;嘉庆;11;1806;嘉庆;22;1817;;吏部;吏部笔帖式;笔帖式;;810;2;魏秀梅职官表;829;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;66;正二;特登额;敏登额;道光;八;1828;十一;11;;;;;;;;;;;;;;;;934;;1778;1854;瓜尔佳;芳山;;恭慎;;;;;;;;;;;;;;;英恒;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;嘉庆;己丑;10;进士;;;;;
1;22847;1;嘉庆;;;嘉庆;;;;;笔帖式(捐纳);笔帖式;;823;2;魏秀梅职官表;851;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;79;正二;麟魁;;道光;十七;1836;四;4;;;;;;;;;;;;;;;;1222;;1791;1862;索绰罗;梅谷，梅谷，星臣;;文端;;;;;;;;;;;;;;;恩寿;;;;;;;;;;;;;;;;璧双;璧瑜;璧璋;璧琦;璧玖;;;;;;;;;;;;满洲;镶白;;道光;丙戌;6;进士;;;;;
1;22970;1;嘉庆;24;1819;嘉庆;25;1820;;;庶吉士;庶吉士;;824;2;魏秀梅职官表;935;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;80;正二;松峻;;道光;十八;1838;四;4;;;;;;;;;;;;;;;;1756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;嘉庆;己卯;;进士;;;;;
1;24339;1;咸丰;10;1860;同治;1;1862;;翰林院;翰林院庶吉士;庶吉士;;859;2;魏秀梅职官表;803;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;115;正二;宝森;;光绪;七;1881;七;7;;;;;;;;;;;;;;;;8619;;1836;1897;爱新觉罗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;咸丰;庚申;10;进士;;;;;
1;22083;1;嘉庆;8;1803;嘉庆;14;1809;;国子监;国子监助教;助教;;807;2;魏秀梅职官表;967;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;63;正二;武忠额;;道光;五;1825;三;3;;;;;;;;;;;;;;;;4359;;;1847;佟佳;;;;;;;;;;;;;;;;;;钟祥;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;嘉庆;戊辰;13;进士;;;;;
1;23957;1;道光;20;1840;道光;;;;;庶吉士;庶吉士;;845;2;魏秀梅职官表;864;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;101;正二;和润;;咸丰;六;1856;七;7;;;;;;;;;;;;;;;;5551;;1812;1866;爱新觉罗;月溪;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;道光;庚子;20;进士;;;;;
1;23511;1;嘉庆;19;1814;嘉庆;22;1817;;;庶吉士;庶吉士;;836;2;魏秀梅职官表;823;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;92;正二;德厚;德宁;道光;二十四;1844;二;2;;;;;;;;;;;;;;;;8133;;;;;宗维，远村;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;觉罗;嘉庆;甲戌;19;进士;;;;;
