履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;12847;1;康熙;;;康熙;;;;;数理精蕴誊录;;;512;2;;0;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;29;正二;赫赫;;乾隆;二十;1755;四;4;;;;;;;;;;;;;;;;1510;;1767;1767;宁古塔;;;;;;;;;;;;;;;;;;德成;佛尔庆额;;;;;;;;;;;;;;;庆奎;七格;庆舒;;;;;;;;;;;;;;满洲;正黄;;;;;监生;;;;;
2;6427;1;乾隆;55;1790;嘉庆;12;1807;;军机处;军机处章京;;;572;3;魏秀梅职官表;704;;副都统;3;锦州;9;锦州副都统;30;从二;文孚;;嘉庆;二十一;1816;二;2;三;18160301;;任;嘉庆;二十三;1818;九;秋;二;18181001;调刑部右侍郎;调;;;311;;1765;1841;博尔济吉特;秋潭;;文敬;;;国栋;;;;;;;;;;;;;;;;;;;;;;;;;;;;裕瑛;;;;;;;;;;;;;;;;满洲;镶黄;;;;;监生;;;;;
1;18732;1;嘉庆;23;1818;;;;;光禄寺;光禄寺卿;卿;;700;2;魏秀梅职官表;928;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;43;正二;润德;;嘉庆;二十五;1820;九;9;;;;;;;;;;;;;;;;0;;;1822;钮祜禄;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;荫生;;;;;
1;20301;1;同治;9;1870;光绪;7;1881;;;笔帖式;笔帖式;;741;2;魏秀梅职官表;926;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;84;正二;寿荫;;光绪;二十;1894;八;8;;;;;;;;;;;;;;;;6146;;1835;1915;爱新觉罗;午卿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;宗室;;;;荫生;;;;;
1;26028;1;嘉庆;;;嘉庆;;;;;笔帖式;笔帖式;;937;2;魏秀梅职官表;945;盛京工部;侍郎;9;盛京五部;4;盛京工部侍郎;71;正二;恩特亨额;;道光;十三;1833;六;6;;;;;;;;;;;;;;;;4258;;;1842;什拉;朴庵;;;;;;;;;;;;;;;;;春熙;;;;;;;;;;;;;;;;瑞昌;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;官学生;;;;;
2;7941;1;同治;3;1864;同治;;;;;护军;;参领-营官-副都统;717;3;魏秀梅职官表;754;;副都统;3;珲春;13;珲春副都统;8;从二;英联;英连;光绪;二十三;1897;二;2;二十九;18970331;;调;光绪;二十七;1901;一;1;三;19010221;卒;卒;离职根据光绪二十七年四月奏折档，页131;;;;;;穆尔察;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶白;;;;;官学生;;;;;
1;23733;1;嘉庆;3;1798;嘉庆;4;1799;捐;;笔帖式(捐);笔帖式;;840;2;魏秀梅职官表;976;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;96;正二;毓书;;道光;二十八;1848;十;10;;;;;;;;;;;;;;;;1450;;1783;1856;叶赫纳喇;;;恭靖;;;多福;;;;;;;;;;;;那俊;;;;;;;;;;;;;;;;松年;;;;;;;;;;;;;;;;满洲;正红;;;;;文生员;;;;;
2;5080;1;道光;;;道光;;;;工部;工部笔帖式;笔帖式;;459;3;魏秀梅职官表;716;;副都统;3;黑龙江;7;黑龙江副都统;46;从二;积拉明阿;;咸丰;七;1857;七;7;十一;18570830;;任;咸丰;九;1859;二;春;十二;18590316;缘事撤任;;三月四日改革职留任，五月十六日革任（亦作吉拉明阿）;;7509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;官学生;;;;;
1;8799;1;乾隆;;;乾隆;26;1761;;宗人府;宗人府效力笔帖式;笔帖式;;331;1;魏秀梅职官表;844;吉林将军;将军;3;吉林;2;吉林将军;47;从一;琳宁;;乾隆;五十四;1789;四;4;;;;;;;;;;;;;;;;1627;;;1805;爱新觉罗;;;勤僖;;;;;;;;;;;;;;;玉庆;玉衡;玉福;玉昌;玉英;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;笔帖式;;;;;
2;2402;1;同治;3;1864;;;;;阿勒楚喀;阿勒楚喀副都统;副都统;;179;3;魏秀梅职官表;707;;副都统;3;吉林;2;吉林副都统;59;从二;徳英;;同治;;;;;;;;;同治;九;1870;九;秋;二十二;18701016;实授黑龙江将军;;;;0;;1820;1874;何图哩;润堂;;庄毅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;附生;;;;;
2;6934;1;光绪;10;1884;光绪;18;1892;;齐齐哈尔;齐齐哈尔参领;参领;;598;3;魏秀梅职官表;705;;副都统;3;锦州;9;锦州副都统;56;从二;绰哈布;;光绪;二十五;1899;二;2;四;18990315;;调;光绪;二十五;1899;五;夏;二十一;18990628;调宁夏将军;调;;;1524;;1852;1908;张佳;;;武勤;;;;;;;;;;;;;;;桂龄;;;;;;;;;;;;;;;;崇祥;;;;;;;;;;;;;;;;满洲;正黄;;;;;荫生;;;;;
1;18948;1;嘉庆;8;1803;嘉庆;11;1806;;刑部;刑部额外主事学习行走;主事;;708;2;魏秀梅职官表;870;盛京兵部;侍郎;7;盛京五部;4;盛京兵部侍郎;51;正二;惠吉;;道光;十六;1836;九;9;;;;;;;;;;;;;;;;1742;;1787;1845;富察;诗塘;;;;;恭泰;;;;;;;;;;;;麟秀;凤秀;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;荫生;;;;;
2;5383;1;;;;乾隆;2;1737;;刑部;刑部笔帖式;笔帖式;布政使、总督等;496;3;;;;副都统;3;熊岳;8;熊岳副都统;19;从二;德福;;乾隆;四十三;1778;十二;12;;;锦州副都统;授;乾隆;五十;;一;;;;解;解;;;2101;;;1782;伊尔根觉罗;;;;;;;;;;;;;;;;;;荣柱;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;监生;;;;;
1;2916;1;乾隆;37;1772;乾隆;42;1777;;;中书科笔帖式;笔帖式;;130;4;魏秀梅职官表;881;奉天府;兼管奉天府府尹;1;盛京;1;奉天府府尹;130;正三;齐布森;;道光;二;1822;五;6;;;;;;;;;;;;;;;;1404;;1753;1826;佟佳;;;;;;;;;;;;;;;;;;苏章阿;;;;;;;;;;;;;;;;祥奎;祥裕;;;;;;;;;;;;;;;满洲;镶红;;;;;笔帖式;;;;;
1;708;1;嘉庆;;;嘉庆;4;1799;;太仆寺;太仆寺员外郎;员外郎;;61;4;;0;奉天府;府尹;1;盛京;1;奉天府府尹;61;正三;华连布;花连布;嘉庆;十七;1812;十二;12;;;;;;;;;;;;;;;;5811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正红;;;;;监生;;;;;
1;2146;1;乾隆;24;1759;乾隆;37;1772;;户部;户部笔帖式;笔帖式;;114;4;魏秀梅职官表;824;奉天府;兼管奉天府府尹;1;盛京;1;奉天府府尹;114;正三;德瑛;;嘉庆;三;1798;一;1;;;;;;;;;;;;;;;;2148;;;1815;伊尔根觉罗;;;;;;安泰;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;觉罗;;;;笔帖式;;护军补笔帖式;;;
1;6934;1;嘉庆;20;1815;道光;2;1822;;工部;工部库使(考取补放);;;244;1;魏秀梅职官表;923;盛京将军;将军;2;盛京;1;盛京将军;75;从一;书元;;咸丰;三;1853;;;;;;;;;;;;;;;;;;4786;;;1859;赫舍里;辅庵;;;;;书铭;;;;;;;;;;;;佛宝;多宝;和宝;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;文生员;;;;;
1;21832;1;乾隆;58;1793;;;;;吏部;吏部笔帖式;笔帖式;;802;2;魏秀梅职官表;868;盛京刑部;侍郎;8;盛京五部;4;盛京刑部侍郎;58;正二;海龄;;道光;一;1821;六;6;;;;;;;;;;;;;;;;898;;1766;1835;觉罗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;觉罗;嘉庆;己未;;监生;;;;;
1;548;1;乾隆;22;1757;乾隆;27;1762;;内阁;中书;中书;;53;4;魏秀梅职官表;885;奉天府;府尹;1;盛京;1;奉天府府尹;53;正三;西成;;嘉庆;二;1797;二;2;;;;;;;;;;;;;;;;873;;1722;1802;巴雅拉;;;;;;;;;;;;;;;;;;宝庆;宝琳;宝兴;宝麟;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;文生员;;;;;
1;12971;1;乾隆;5;1740;乾隆;11;1746;;内阁;内阁中书;中书;;521;2;;0;盛京户部;侍郎;5;盛京五部;4;盛京户部侍郎;38;正二;鄂宝;;乾隆;四十八;1783;二;2;;;;;;;;;;;;;;;;785;;;1787;鄂谟托;;;;;;西柱;;;;;;;;;;;;文通;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;官学生;;;;;
