朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
乾隆;三十二;八;1767;3;礼部;礼部侍郎;侍郎;侍郎;正二;;温敏;;满洲;正蓝;;;进士;
乾隆;四十一;;1776;;礼部;礼部侍郎;侍郎;侍郎;正二;;全魁;;满洲;镶白;;;进士;
嘉庆;十;十二;1805;4;礼部;礼部侍郎;侍郎;侍郎;正二;;德文;;满洲;正白;;;进士;
道光;四;闰七;1824;2;礼部;礼部侍郎;侍郎;侍郎;正二;;善庆;;满洲;正蓝;;;进士;
道光;十一;八;1831;3;礼部;礼部侍郎;侍郎;侍郎;正二;;那彦成;;满洲;正白;;;进士;
道光;三十;四;1850;1;礼部;礼部侍郎;侍郎;侍郎;正二;;广林;;蒙古;正黄;;;进士;
咸丰;二;十;1852;3;礼部;礼部侍郎;侍郎;侍郎;正二;;和色本;;满洲;正蓝;;;进士;
咸丰;六;八;1856;3;礼部;礼部侍郎;侍郎;侍郎;正二;;倭仁;;蒙古;正红;;;进士;
同治;一;十一;1862;4;礼部;礼部侍郎;侍郎;侍郎;正二;;志和;;满洲;正蓝;;;进士;
同治;八;三;1869;1;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;麟书;;满洲;正蓝;;;进士;
光绪;一;五;1875;2;礼部;礼部侍郎;侍郎;侍郎;正二;;苏勒布;;满洲;正红;;;进士;
光绪;六;八;1880;3;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;松森;;满洲;正蓝;;;进士;
光绪;十七;十一;1891;4;礼部;礼部侍郎;侍郎;侍郎;正二;;文兴;;蒙古;正蓝;;;监生;
光绪;二十五;十二;1899;4;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;崇宽;;满洲;镶蓝;;;进士;
光绪;二十九;一;1903;4;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;景厚;;满洲;镶蓝;;;进士;
乾隆;八;三;1743;1;兵部;兵部侍郎;侍郎;侍郎;正二;;春山;;满洲;镶蓝;;;进士;
嘉庆;四;二;1799;1;兵部;兵部侍郎;侍郎;侍郎;正二;;铁保;;满洲;正黄;;;进士;
嘉庆;四;五;1799;2;兵部;兵部侍郎;侍郎;侍郎;正二;;瑚图礼;;满洲;正白;;;进士;
嘉庆;四;九;1799;3;兵部;兵部侍郎;侍郎;侍郎;正二;;成书;;满洲;镶白;;;进士;
嘉庆;九;七;1804;2;兵部;兵部侍郎;侍郎;侍郎;正二;;荣麟;;满洲;正蓝;;;进士;
道光;一;十二;1821;4;兵部;兵部侍郎;侍郎;侍郎;正二;;书铭;书敏;满洲;镶蓝;;;举人;
道光;十六;十一;1836;4;兵部;兵部侍郎;侍郎;侍郎;正二;;文蔚;;满洲;正蓝;;;进士;
道光;二十二;十二;1842;4;兵部;兵部侍郎;侍郎;侍郎;正二;;舒兴阿;;满洲;正蓝;;;进士;
道光;二十四;八;1844;3;兵部;兵部侍郎;侍郎;侍郎;正二;;福济;;满洲;镶白;;;进士;
道光;二十四;八;1844;3;兵部;兵部侍郎;侍郎;侍郎;正二;;广林;;蒙古;正黄;;;进士;
道光;二十七;七;1847;2;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;灵桂;;满洲;正蓝;;;进士;
