朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
康熙;八;;1669;;礼部;礼部侍郎;侍郎;侍郎;正二;;哈尔松噶;;满洲;正红;;;;
康熙;二十二;一;1683;4;礼部;礼部侍郎;侍郎;侍郎;正二;;锡兰泰;席兰泰;满洲;镶黄;;;;
康熙;二十七;八;1688;3;礼部;礼部侍郎;侍郎;侍郎;正二;;珠山;朱善满;满洲;正白;;;;
康熙;三十九;十;1700;3;礼部;礼部侍郎;侍郎;侍郎;正二;;单璧;山疋;满洲;正蓝;;;;
康熙;三十三;四;1694;1;礼部;礼部侍郎;侍郎;侍郎;正二;;艾肃;爱素;满洲;镶白;;;;
康熙;三十四;十一;1695;4;礼部;礼部侍郎;侍郎;侍郎;正二;;庸爱;;;;;;;
康熙;三十五;六;1696;2;礼部;礼部侍郎;侍郎;侍郎;正二;;阿山;;满洲;镶蓝;;;笔帖式;
康熙;三十六;六;1697;2;礼部;礼部侍郎;侍郎;侍郎;正二;;哈山;哈三;满洲;镶红;;;;
康熙;四十九;五;1710;2;礼部;礼部侍郎;侍郎;侍郎;正二;;苏尔德;书尔德;满洲;镶红;;;;
康熙;五十二;十二;1713;4;礼部;礼部侍郎;侍郎;侍郎;正二;;巴济纳;巴巴那;满洲;镶白;;;;
雍正;一;二;1723;1;礼部;礼部侍郎;侍郎;侍郎;正二;;关色;;满洲;镶白;正白;;;
雍正;二;二;1724;1;礼部;礼部侍郎;侍郎;侍郎;正二;;噶尔图;;满洲;镶白;;;;
雍正;五;七;1727;2;礼部;礼部侍郎;侍郎;侍郎;正二;;武格;;满洲;正蓝;;;;
雍正;七;二;1729;1;礼部;礼部侍郎;侍郎;侍郎;正二;;永国;;;;;;;
雍正;七;四;1729;1;礼部;礼部侍郎;侍郎;侍郎;正二;;申珠浑;;满洲;镶红;;;;
雍正;十三;一;1735;4;礼部;礼部侍郎;侍郎;侍郎;正二;;德福;;满洲;镶白;;;;
乾隆;六;十一;1741;4;礼部;礼部侍郎;侍郎;侍郎;正二;;纳尔泰;;满洲;镶黄;;;;
乾隆;十六;二;1751;1;礼部;礼部侍郎;侍郎;侍郎;正二;;德龄;;满洲;镶黄;;;;
乾隆;十七;二;1752;1;礼部;礼部侍郎;侍郎;侍郎;正二;;吴达善;;满洲;正红;;;;
乾隆;十八;;1753;;礼部;礼部侍郎;侍郎;侍郎;正二;;苏章阿;;蒙古;正黄;;;;
乾隆;十八;十一;1753;4;礼部;礼部侍郎;侍郎;侍郎;正二;;世臣;世辰;满洲;正白;;;;
乾隆;十九;九;1754;3;礼部;礼部侍郎;侍郎;侍郎;正二;;边塔海;卞塔海;满洲;镶蓝;;;;
乾隆;二十八;二;1763;1;礼部;礼部侍郎;侍郎;侍郎;正二;;永宁;;满洲;正红;;;生员;
乾隆;三十四;二;1769;1;礼部;礼部侍郎;侍郎;侍郎;正二;;耀海;;满洲;正白;;;;
乾隆;三十六;;1771;;礼部;礼部侍郎;侍郎;侍郎;正二;觉罗;志信;;满洲;正蓝;;;;
乾隆;四十三;十一;1778;4;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;玉鼎柱;;满洲;镶蓝;;;;
乾隆;四十八;七;1783;2;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;宜兴;;满洲;镶红;;;;
乾隆;五十二;二;1787;1;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;玉鼎柱;;满洲;镶蓝;;;;
乾隆;五十二;五;1787;2;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;禄康;;满洲;正蓝;;;笔帖式;
乾隆;五十七;九;1792;3;礼部;礼部侍郎;侍郎;侍郎;正二;;德瑛;;满洲;镶黄;;;笔帖式;
嘉庆;二;一;1797;4;礼部;礼部侍郎;侍郎;侍郎;正二;;宝源;;;;;;;
嘉庆;五《奉天通志》卷133/267作三;三;1800;1;礼部;礼部侍郎;侍郎;侍郎;正二;;庚音布;;满洲;镶蓝;;;官学生;
嘉庆;六;二;1801;1;礼部;礼部侍郎;侍郎;侍郎;正二;;继善;;满洲;正蓝;;;生员;
嘉庆;七;一;1802;4;礼部;礼部侍郎;侍郎;侍郎;正二;;多庆;;;;;;;
嘉庆;十一;二;1806;1;礼部;礼部侍郎;侍郎;侍郎;正二;;成格;;满洲;正黄;;;进士;
嘉庆;十四;六;1809;2;礼部;礼部侍郎;侍郎;侍郎;正二;;凯音布;;满洲;镶黄;;;进士;
嘉庆;十六;六;1811;2;礼部;礼部侍郎;侍郎;侍郎;正二;;哈鲁堪;;满洲;正黄;;;监生;
嘉庆;十六;六;1811;2;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;花尚阿;僧保住;满洲;正蓝;;;官学生;补笔帖式
嘉庆;十八;二;1813;1;礼部;礼部侍郎;侍郎;侍郎;正二;;诚安;;满洲;正黄;;;笔帖式;捐纳
嘉庆;二十一;五;1816;2;礼部;礼部侍郎;侍郎;侍郎;正二;;升寅;;满洲;镶黄;;;举人;
道光;七;七;1827;2;礼部;礼部侍郎;侍郎;侍郎;正二;;钟昌;;满洲;正白;;;进士;
道光;七;八;1827;3;礼部;礼部侍郎;侍郎;侍郎;正二;;特登额;;满洲;镶红;;;进士;
道光;八;十一;1828;4;礼部;礼部侍郎;侍郎;侍郎;正二;;凯音布;;满洲;镶黄;;;进士;
道光;十一;一;1831;4;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;铁麟;;满洲;正蓝;;;进士;
道光;十一;;1831;;礼部;礼部侍郎;侍郎;侍郎;正二;;常文;;满洲;正蓝;;;贡生;
道光;;;;;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;铁麟;;满洲;正蓝;;;;
道光;十一;八;1831;3;礼部;礼部侍郎;侍郎;侍郎;正二;;普保;;满洲;正黄;;;进士;
道光;十五;九;1835;3;礼部;礼部侍郎;侍郎;侍郎;正二;;鄂顺安;;满洲;正红;;;翻译生员;
道光;十五;十;1835;3;礼部;礼部侍郎;侍郎;侍郎;正二;;明训;;蒙古;正黄;;;进士;
道光;十六;五;1836;2;礼部;礼部侍郎;侍郎;侍郎;正二;;萨迎阿;;满洲;镶黄;;;;
道光;十九;四;1839;1;礼部;礼部侍郎;侍郎;侍郎;正二;;明训;;蒙古;正黄;;;进士;
道光;二十三;四;1843;1;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;春佑;;满洲;正红;;道光元年十二月由应封宗室袭三等镇国将军;;
道光;二十九;;1849;;礼部;礼部侍郎;侍郎;侍郎;正二;;恒毓;;满洲;镶白;;;;
道光;;;;;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;春佑;;满洲;正红;;道光元年十二月由应封宗室袭三等镇国将军;;
道光;三十;七;1850;2;礼部;礼部侍郎;侍郎;侍郎;正二;;耆瑞;;满洲;正蓝;;;;
咸丰;七;十一;1857;4;礼部;礼部侍郎;侍郎;侍郎;正二;;文俊;;满洲;镶红;;;监生;
咸丰;九;十;1859;3;礼部;礼部侍郎;侍郎;侍郎;正二;;双福;;蒙古;正黄;;;;
同治;一;十一;1862;4;礼部;礼部侍郎;侍郎;侍郎;正二;;清安;;满洲;镶蓝;;;翻译进士;
同治;四;;1865;;礼部;礼部侍郎;侍郎;侍郎;正二;;庆春;;满洲;正黄;;;笔帖式;由考却记名印务笔帖式于道光二十三年十二月考补印务笔帖式
同治;;;;;礼部;礼部侍郎;侍郎;侍郎;正二;;清安;;满洲;镶蓝;;;翻译进士;
光绪;十二;五;1886;2;礼部;礼部侍郎;侍郎;侍郎;正二;;文晖;;蒙古;镶红;;;荫生;
光绪;十四;十二;1888;4;礼部;礼部侍郎;侍郎;侍郎;正二;;怀塔布;;满洲;正蓝;;;荫生;
光绪;二十七;;1901;;礼部;礼部侍郎;侍郎;侍郎;正二;宗室;溥颋;;满洲;;;;;
光绪;二十七;八;1901;3;礼部;礼部侍郎;侍郎;侍郎;正二;;特图慎;;蒙古;正白;;;;
光绪;二十八;二;1902;1;礼部;礼部侍郎;侍郎;侍郎;正二;;荣惠;;蒙古;正白;;;;
康熙;三十;三;1691;1;兵部;兵部侍郎;侍郎;侍郎;正二;觉罗;顺拜;;满洲;镶红;;;;
康熙;三十五;;1696;;兵部;兵部侍郎;侍郎;侍郎;正二;;傅继祖;;满洲;正蓝;;;;
康熙;三十九;十一;1700;4;兵部;兵部侍郎;侍郎;侍郎;正二;;额伦特;鄂伦德;满洲;镶红;;;;
康熙;四十一;十;1702;3;兵部;兵部侍郎;侍郎;侍郎;正二;;傅绅;傅申;满洲;镶白;;;;
康熙;五十;一;1711;4;兵部;兵部侍郎;侍郎;侍郎;正二;;色尔图;;满洲;镶红;;;;
康熙;五十六;十;1717;3;兵部;兵部侍郎;侍郎;侍郎;正二;;海寿;;满洲;正白;;;;
康熙;五十七;;1718;;兵部;兵部侍郎;侍郎;侍郎;正二;;贝和诺;;满洲;正黄;;;;
康熙;五十八;;1719;;兵部;兵部侍郎;侍郎;侍郎;正二;;玛金泰;;满洲;镶白;;;;
康熙;五十九;九;1720;3;兵部;兵部侍郎;侍郎;侍郎;正二;;杨柱;扬柱;满洲;镶白;;;;
雍正;一;;1723;;兵部;兵部侍郎;侍郎;侍郎;正二;;伊忒海;伊特海;满洲;正红;;;;
雍正;二;;1724;;兵部;兵部侍郎;侍郎;侍郎;正二;;乌尔泰;;满洲;镶白;;;;
雍正;四;十一;1726;4;兵部;兵部侍郎;侍郎;侍郎;正二;;永福;;满洲;镶白;正蓝;;;
乾隆;四;九;1739;3;兵部;兵部侍郎;侍郎;侍郎;正二;;常安;;满洲;镶红;;;;
乾隆;五;五;1740;2;兵部;兵部侍郎;侍郎;侍郎;正二;;阿山;安山;满洲;正蓝;;;;
乾隆;十;二;1745;1;兵部;兵部侍郎;侍郎;侍郎;正二;;敷文;;满洲;镶黄;;;;
乾隆;十一;;1746;;兵部;兵部侍郎;侍郎;侍郎;正二;;鼐满岱;;蒙古;正蓝;;;;
乾隆;十三;四;1748;1;兵部;兵部侍郎;侍郎;侍郎;正二;;慧中;;满洲;正黄;;;;
乾隆;十五;五;1750;2;兵部;兵部侍郎;侍郎;侍郎;正二;;世臣;;满洲;正白;;;;
乾隆;十八;;1753;;兵部;兵部侍郎;侍郎;侍郎;正二;;边塔海;卞塔海;满洲;镶蓝;;;;
乾隆;十九;;1754;;兵部;兵部侍郎;侍郎;侍郎;正二;;德尔格;;满洲;镶白;;;;
乾隆;二十;四;1755;1;兵部;兵部侍郎;侍郎;侍郎;正二;;富僧格;福增额、富僧格;满洲;正黄;;;;
乾隆;二十三;十;1758;3;兵部;兵部侍郎;侍郎;侍郎;正二;;果尔敏;果勒敏;满洲;正白;;;;
乾隆;三十;六;1765;2;兵部;兵部侍郎;侍郎;侍郎;正二;;富德;;满洲;正蓝;;;;
乾隆;三十六;四;1771;1;兵部;兵部侍郎;侍郎;侍郎;正二;;伯兴;博兴;满洲;镶白;;;;
乾隆;四十八;十;1783;3;兵部;兵部侍郎;侍郎;侍郎;正二;;范宜清;;满洲;镶黄;;;;
乾隆;五十七;八;1792;3;兵部;兵部侍郎;侍郎;侍郎;正二;;伯麟;;满洲;正黄;;;举人;
乾隆;五十七;十二;1792;4;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;禄康;;满洲;正蓝;;;笔帖式;
嘉庆;三;一;1798;4;兵部;兵部侍郎;侍郎;侍郎;正二;;书敬;;满洲;镶红;;;;
嘉庆;三;八;1798;3;兵部;兵部侍郎;侍郎;侍郎;正二;;恭泰;恭春;满洲;镶黄;;;进士;
嘉庆;五;二;1800;1;兵部;兵部侍郎;侍郎;侍郎;正二;;穆克登额;;满洲;镶蓝;;亲军授笔帖式;笔帖式;亲军授笔帖式
嘉庆;七;七;1802;2;兵部;兵部侍郎;侍郎;侍郎;正二;;花尚阿;;蒙古;镶红;;;;
嘉庆;十;八;1805;3;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;广敏;;满洲;镶蓝;;;;
嘉庆;十一;八;1806;3;兵部;兵部侍郎;侍郎;侍郎;正二;;丰绅济伦;;满洲;镶黄;;袭父和硕额驸补隆安品数后袭一等忠勇公;;
嘉庆;十二;二;1807;1;兵部;兵部侍郎;侍郎;侍郎;正二;;伊冲阿;;满洲;正蓝;;;;
嘉庆;十五;八;1810;3;兵部;兵部侍郎;侍郎;侍郎;正二;;哈鲁堪;;满洲;正黄;;;监生;
嘉庆;十八;四;1813;1;兵部;兵部侍郎;侍郎;侍郎;正二;;书敏;书铭;满洲;镶蓝;;;举人;
嘉庆;二十五;九;1820;3;兵部;兵部侍郎;侍郎;侍郎;正二;;润德;;;;;;;
道光;一;十;1821;3;兵部;兵部侍郎;侍郎;侍郎;正二;;佛住;;满洲;镶白;;;进士;
道光;六;二;1826;1;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;惠端;;满洲;镶蓝;;;进士;
道光;九;二;1829;1;兵部;兵部侍郎;侍郎;侍郎;正二;;那丹珠;;满洲;镶蓝;;;进士;
道光;十;十一;1860;4;兵部;兵部侍郎;侍郎;侍郎;正二;;常文;;满洲;正蓝;;;贡生;
道光;十二;一;1832;4;兵部;兵部侍郎;侍郎;侍郎;正二;;德兴;;满洲;镶黄;;;进士;
道光;十三;五;1833;2;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;德春;;满洲;镶黄;;;进士;
道光;十六;九;1836;3;兵部;兵部侍郎;侍郎;侍郎;正二;;惠吉;;满洲;镶黄;;;荫生;
道光;十八;十一;1838;4;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;成刚;;满洲;镶蓝;;;笔帖式;
道光;二十;十二;1840;4;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;道庆;;满洲;镶蓝;;四品宗室挑取侍卫，并非大员子弟;;
道光;二十;;1840;;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;奕兴;;满洲;;;;;
道光;二十三;四;1843;1;兵部;兵部侍郎;侍郎;侍郎;正二;;倭什讷;;蒙古;正黄;;;荫生;
道光;二十四;;1844;;兵部;兵部侍郎;侍郎;侍郎;正二;;明训;;蒙古;正黄;;;进士;
道光;;;;;兵部;兵部侍郎;侍郎;侍郎;正二;;明训;;蒙古;正黄;;;进士;
道光;二十五;四;1845;1;兵部;兵部侍郎;侍郎;侍郎;正二;;龄;;满洲;正白;;;监生;
道光;二十八;十二;1848;4;兵部;兵部侍郎;侍郎;侍郎;正二;;恒毓;;满洲;镶白;;;;
咸丰;二;;1852;;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;耆瑞;;满洲;正红;;;笔帖式;四品宗室补宗人府效力笔帖式
咸丰;六;十二;1856;4;兵部;兵部侍郎;侍郎;侍郎;正二;;连奎;;;;;;;
咸丰;六;十二;1856;4;兵部;兵部侍郎;侍郎;侍郎;正二;;讷尔济;;满洲;正白;;;翻译进士;
同治;一;一;1862;4;兵部;兵部侍郎;侍郎;侍郎;正二;;联康;;满洲;镶黄;;;;
同治;四;;1865;;兵部;兵部侍郎;侍郎;侍郎;正二;;桂清;;满洲;正白;;;翻译进士;
光绪;八;五;1882;2;兵部;兵部侍郎;侍郎;侍郎;正二;;钟濂;柏葰之子;蒙古;正蓝;;;;
光绪;十一;三;1885;1;兵部;兵部侍郎;侍郎;侍郎;正二;;凤秀;;满洲;镶黄;;;监生;
光绪;十六;十二;1890;4;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;丰烈;;满洲;镶白;;;笔帖式;
光绪;二十;八;1894;3;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;寿荫;;满洲;正红;;;;
光绪;二十一;八;1895;3;兵部;兵部侍郎;侍郎;侍郎;正二;宗室;溥顾;;满洲;镶红;;;荫生;
康熙;三;一;1664;4;刑部;刑部侍郎;侍郎;侍郎;正二;;祈通格;齐通额;满洲;正蓝;;;;
康熙;九;三;1670;1;刑部;刑部侍郎;侍郎;侍郎;正二;;杭爱;杭艾;满洲;正白;;;;
康熙;二十一;七;1682;2;刑部;刑部侍郎;侍郎;侍郎;正二;;噶尔图;;满洲;镶白;;;;
康熙;二十五;四;1686;1;刑部;刑部侍郎;侍郎;侍郎;正二;;阿里瑚;阿礼瑚、阿里?;满洲;正黄;;;;
