季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;原姓名;民族;旗分;爵位;科举
夏;道光;四;1824;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;宗室;东明;1;;满洲;正白;;
春;光绪;十八;1892;1;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;宗室;丰烈;1;农烈;满洲;镶白;;
夏;同治;十一;1872;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;丰绅;2;;满洲;正白;;
冬;同治;十二;1873;4;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;丰绅;2;;满洲;正白;;
夏;同治;十三;1874;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
夏;光绪;元;1875;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
冬;光绪;二;1876;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
冬;光绪;三;1877;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
秋;光绪;四;1878;3;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军;从一;;丰绅;7;;满洲;正白;;
冬;光绪;四;1878;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军;从一;;丰绅;7;;满洲;正白;;
秋;光绪;五;1879;3;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军;从一;;丰绅;7;;满洲;正白;;
秋;乾隆;五十;1785;3;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;乌兴阿;1;乌灵阿、乌兴阿;满洲;正红;;
春;道光;二十二;1842;1;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正红;;
夏;道光;二十五;1845;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;镶黄;;
夏;道光;二十八;1848;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
夏;道光;二十九;1849;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
夏;咸丰;一;1851;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
冬;咸丰;二;1852;4;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
夏;咸丰;三;1853;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
春;咸丰;四;1854;1;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
冬;光绪;二;1876;4;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;乌勒兴阿;2;;满洲;镶黄;;
冬;光绪;三;1877;4;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;乌勒兴阿;2;;满洲;镶黄;;
秋;同治;六;1867;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
春;同治;八;1869;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶红;;
春;同治;九;1870;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
春;同治;十;1871;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
