朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
雍正;十三;4;1735;4;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;七克新;1;齐克新;满洲;正红;;;;
雍正;七;;1729;;副都统;三姓副都统;副都统;副都统;从二;;七十五;1;;满洲;正黄;;;;
康熙;五十四;6;1715;6;黑龙江将军;黑龙江将军;将军;将军;从一;宗室;三官保;1;;满洲;;;;;
乾隆;十八;;1753;;副都统;三姓副都统;副都统;副都统;从二;;三格;1;;满洲;镶白;;;;
乾隆;十九;;1754;;副都统;黑龙江副都统;副都统;副都统;从二;;三格;1;;满洲;镶白;;;;
乾隆;十五;6;1750;6;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;世臣;1;世辰;满洲;正白;;;进士;
乾隆;十八;11;1753;11;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;世臣;1;世辰;满洲;正白;;;进士;
顺治;二;3;1645;3;将军衙门;将军;阿立哈大;阿立哈大;从一;;业克恕;1;叶克舒、叶克书;满洲;正红;;;;
嘉庆;二十三;9;1818;9;副都统;锦州副都统;副都统;副都统;从二;;东明;1;;;;;;;
光绪;十六;12;1890;12;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;宗室;丰烈;1;;满洲;镶白;;;笔帖式;
乾隆;十三;6;1748;6;副都统;锦州副都统;副都统;副都统;从二;;丰盛额;1;丰升额;满洲;镶红;;;;
同治;十;4;1871;4;副都统;锦州副都统;副都统;副都统;从二;;丰绅;1;;满洲;镶白;;;;
同治;十三;;1874;;黑龙江将军;黑龙江将军;将军;将军;从一;;丰绅;1;;满洲;镶白;;;笔帖式;
嘉庆;十一;8;1806;8;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;丰绅济伦;1;;满洲;镶黄;;;;
乾隆;五十三;;1788;;副都统;吉林副都统;吉林副都统;;从二;;乌什哈达;1;;满洲;正黄;;;;
乾隆;五十一;;1786;;副都统;齐齐哈尔副都统;齐齐哈尔副都统;;从二;;乌什哈达;1;;满洲;正黄;;;;
乾隆;四十六;;1781;;副都统;吉林副都统;副都统;副都统;从二;;乌兴阿;1;;满洲;镶红;;;;
道光;二十;12;1841;12;副都统;墨尔根副都统;副都统;副都统;从二;;乌凌额;1;;满洲;正白;;领催;;
光绪;一;8;1875;8;副都统;伯都讷副都统;副都统;副都统;从二;;乌勒兴阿;1;;满洲;镶黄;;防御;;
同治;四;5;1865;5;副都统;宁古塔副都统;副都统;副都统;从二;;乌勒兴阿;2;;满洲;镶黄;;防御;;
同治;四;5;1865;5;副都统;宁古塔副都统;副都统;副都统;从二;;乌勒兴阿;2;;满洲;镶黄;;防御;;
嘉庆;二十一;6;1816;6;副都统;齐齐哈尔副都统;副都统;副都统;从二;;乌勒德尼;1;乌尔德呢;蒙古;正黄;;;;
乾隆;三十四;;1769;;副都统;黑龙江副都统;副都统;副都统;从二;;乌升额;1;;满洲;正黄;;;;
乾隆;三十三;;1768;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;乌升额;2;;满洲;正黄;;;;
