姓名;数据库1时间;数据库3时间;时间差
富永;1827;1730;-97
硕德;1827;1809;-21
硕德;1830;1809;-21
玉英;1830;1823;-7
国祥;1833;1859;23
长德;1833;1727;-111
国祥;1834;1859;23
国祥;1834;1859;23
常德;1834;1727;-111
文溥;1834;1823;-11
国祥;1836;1859;23
常德;1836;1727;-111
国祥;1836;1859;23
常德;1836;1727;-111
国祥;1836;1859;23
常德;1836;1727;-111
常德;1837;1727;-111
常德;1838;1727;-111
富春;1842;1829;-28
萨炳阿;1845;1850;-4
富春;1845;1829;-28
班廸;1848;1655;-196
萨炳阿;1848;1850;-4
清安;1848;1826;-43
班廸;1849;1655;-196
萨炳阿;1849;1850;-4
清安;1849;1826;-43
瑞昌;1851;1832;-20
班廸;1851;1655;-196
萨炳阿;1851;1850;-4
清安;1851;1826;-43
瑞昌;1852;1832;-20
萨炳阿;1852;1850;-4
清安;1852;1826;-43
萨炳阿;1853;1850;-4
麟瑞;1853;1886;26
清安;1853;1826;-43
萨炳阿;1854;1850;-4
富寿;1854;1814;-40
麟瑞;1856;1886;26
富春;1856;1829;-28
魁福;1856;1844;-13
麟瑞;1857;1886;26
富春;1857;1829;-28
奎福;1857;1844;-13
麟瑞;1858;1886;26
富明阿;1858;1823;-47
麟瑞;1859;1886;26
富明阿;1859;1823;-47
宝山;1860;1809;-57
麟瑞;1860;1886;26
德楞额;1860;1835;-25
关保;1860;1751;-118
庆春;1865;1890;24
德英;1865;1751;-122
关保;1865;1751;-118
宝善;1865;1809;-57
庆春;1866;1890;24
德英;1866;1751;-122
关保;1866;1751;-118
宝善;1866;1809;-57
德英;1867;1751;-122
乌林布;1867;1751;-118
陞安;1867;1790;-85
关保;1867;1751;-118
春寿;1867;1840;-27
毓福;1869;1892;21
乌林布;1869;1751;-118
陞安;1869;1790;-85
关保;1869;1751;-118
毓福;1870;1892;21
双福;1870;1868;-38
勝安;1870;1790;-85
伊克唐阿;1870;1826;-73
毓福;1871;1892;21
双福;1871;1868;-38
勝安;1871;1790;-85
伊克唐阿;1871;1826;-73
双福;1872;1868;-38
勝安;1872;1790;-85
伊克唐阿;1872;1826;-73
双福;1873;1868;-38
勝安;1873;1790;-85
伊克唐阿;1873;1826;-73
双福;1874;1868;-38
勝安;1874;1790;-85
伊克唐阿;1874;1826;-73
双福;1875;1868;-38
勝安;1875;1790;-85
伊克唐阿;1875;1826;-73
双福;1876;1868;-38
长麟;1876;1880;-2
依克唐阿;1876;1826;-73
双福;1877;1868;-38
长麟;1877;1880;-2
依克唐阿;1877;1826;-73
双福;1878;1868;-38
长麟;1878;1880;-2
双福;1878;1868;-38
长麟;1878;1880;-2
依克唐阿;1878;1826;-73
双福;1879;1868;-38
长麟;1879;1880;-2
双福;1881;1868;-38
长麟;1881;1880;-2
禄彭;1881;1883;-7
长麟;1882;1880;-2
依克唐阿;1882;1826;-73
禄彭;1882;1883;-7
依克唐阿;1884;1826;-73
禄彭;1884;1883;-7
济禄;1885;1805;-91
依克唐阿;1885;1826;-73
禄彭;1885;1883;-7
济禄;1886;1805;-91
奕澍;1886;1826;-71
崇善;1886;1894;-4
依克唐阿;1886;1826;-73
禄彭;1886;1883;-7
济禄;1887;1805;-91
奕澍;1887;1826;-71
崇善;1887;1894;-4
依克唐阿;1887;1826;-73
禄彭;1887;1883;-7
济禄;1888;1805;-91
奕澍;1888;1826;-71
崇善;1888;1894;-4
依克唐阿;1888;1826;-73
禄彭;1888;1883;-7
济禄;1889;1805;-91
奕澍;1889;1826;-71
崇善;1889;1894;-4
柏英;1889;1737;-161
禄彭;1889;1883;-7
济禄;1890;1805;-91
奕澍;1890;1826;-71
崇善;1890;1894;-4
柏英;1890;1737;-161
禄彭;1890;1883;-7
济禄;1892;1805;-91
奕澍;1892;1826;-71
崇善;1892;1894;-4
柏英;1892;1737;-161
福魁;1892;1727;-168
济禄;1893;1805;-91
奕澍;1893;1826;-71
崇善;1893;1894;-4
柏英;1893;1737;-161
福魁;1893;1727;-168
济禄;1894;1805;-91
奕澍;1894;1826;-71
崇善;1894;1894;-4
柏英;1894;1737;-161
富魁;1894;1727;-168
济禄;1895;1805;-91
奕澍;1895;1826;-71
崇善;1895;1894;-4
柏英;1895;1737;-161
福魁;1895;1727;-168
济禄;1896;1805;-91
寿长;1896;1850;-47
奕澍;1896;1826;-71
崇善;1896;1894;-4
柏英;1896;1737;-161
恩祥;1896;1889;-7
寿长;1897;1850;-47
奕澍;1897;1826;-71
崇善;1897;1894;-4
柏英;1897;1737;-161
崇善;1898;1894;-4
柏英;1898;1737;-161
成勳;1899;1736;-171
依兴阿;1899;1739;-166
成勳;1900;1736;-171
依兴阿;1900;1739;-166
成勳;1901;1736;-171
全福;1901;1808;-94
依兴阿;1901;1739;-166
双福;1901;1868;-38
成勳;1902;1736;-171
全福;1902;1808;-94
依兴阿;1902;1739;-166
双福;1902;1868;-38
成勳;1903;1736;-171
依兴阿;1903;1739;-166
双福;1903;1868;-38
成勳;1904;1736;-171
依兴阿;1904;1739;-166
双福;1904;1868;-38
成勳;1905;1736;-171
恒春;1905;1820;-87
春山;1905;1712;-193
依兴阿;1905;1739;-166
双福;1905;1868;-38
成勳;1906;1736;-171
恒春;1906;1820;-87
双福;1906;1868;-38
成勳;1907;1736;-171
恒春;1907;1820;-87
德裕;1911;1817;-94
福珠里;1773;1748;-29
舒通阿;1773;1801;28
舒通阿;1773;1801;28
官褔;1785;1748;-37
索柱;1786;1661;-127
傅玉;1777;1745;-150
赛冲阿;1812;1652;-160
富俊;1817;1844;27
富俊;1817;1844;27
松筠;1820;1709;-111
禄成;1824;1737;-90
禄成;1826;1737;-90
禄成;1827;1737;-90
宝兴;1833;1805;-32
保昌;1833;1874;40
宝兴;1834;1805;-32
宝兴;1834;1805;-32
保昌;1834;1874;40
宝兴;1836;1805;-32
宝兴;1837;1805;-32
禧恩;1845;1883;38
皂保;1865;1845;-20
富明阿;1867;1823;-47
富明阿;1869;1823;-47
德英;1869;1751;-122
富明阿;1870;1823;-47
德英;1870;1751;-122
德英;1871;1751;-122
德英;1872;1751;-122
德英;1873;1751;-122
铭安;1878;1856;-26
铭安;1879;1856;-26
铭安;1881;1856;-26
铭安;1882;1856;-26
希元;1884;1877;-10
希元;1885;1877;-10
希元;1886;1877;-10
希元;1887;1877;-10
恭镗;1887;1809;-79
恭镗;1888;1809;-79
依克唐阿;1889;1826;-73
裕禄;1890;1841;-54
依克唐阿;1890;1826;-73
裕禄;1892;1841;-54
依克唐阿;1892;1826;-73
裕禄;1893;1841;-54
依克唐阿;1893;1826;-73
裕禄;1894;1841;-54
依克唐阿;1894;1826;-73
裕禄;1895;1841;-54
依克唐阿;1896;1826;-73
依克唐阿;1897;1826;-73
依克唐阿;1898;1826;-73
依克唐阿;1899;1826;-73
傅椿;1773;1829;-28
傅玉;1773;1745;-150
傅玉;1773;1745;-150
福保;1796;1766;-30
西成;1797;1822;24
西成;1798;1822;24
贵庆;1816;1799;-76
贵庆;1817;1799;-76
庆林;1837;1841;2
庆林;1838;1841;2
庆林;1839;1841;2
呈麟;1842;1814;-28
文俊;1848;1895;36
文俊;1849;1895;36
文俊;1851;1895;36
文俊;1852;1895;36
文蔚;1853;1691;-162
吉年;1854;1822;-32
德椿;1865;1819;-52
德椿;1871;1819;-52
恭镗;1872;1809;-79
恭镗;1873;1809;-79
恭镗;1874;1809;-79
恭镗;1875;1809;-79
松林;1881;1715;-182
松林;1882;1715;-182
裕长;1884;1889;0
裕长;1885;1889;0
裕长;1886;1889;0
裕长;1887;1889;0
裕长;1888;1889;0
裕长;1889;1889;0
福裕;1895;1745;-150
松林;1896;1715;-182
松林;1897;1715;-182
玉恒;1900;1655;-248
玉恒;1901;1655;-248
玉恒;1902;1655;-248
玉恒;1903;1655;-248
玉恒;1903;1655;-248
德瑛;1796;1751;-122
傅森;1796;1694;-102
宝源;1797;1898;100
宝源;1798;1898;100
德瑛;1798;1751;-122
荣麟;1806;1789;-17
德文;1806;1790;-27
荣麟;1806;1789;-17
贵庆;1812;1799;-76
德文;1816;1790;-27
书敏;1816;1742;-78
恩宁;1816;1808;-9
德文;1817;1790;-27
书敏;1817;1742;-78
恩宁;1817;1808;-9
书敏;1817;1742;-78
书敏;1820;1742;-78
瑞麟;1820;1826;6
龄椿;1820;1745;-75
书铭;1824;1748;-76
海龄;1824;1739;-88
海龄;1827;1739;-88
多山;1830;1795;-35
凯音布;1830;1801;-29
那丹珠;1830;1817;-13
德兴;1833;1817;-19
德兴;1834;1817;-19
德春;1834;1819;-52
德兴;1834;1817;-19
德春;1834;1819;-52
贵庆;1834;1799;-76
德兴;1836;1817;-19
德春;1836;1819;-52
文蔚;1836;1691;-162
德兴;1836;1817;-19
德兴;1836;1817;-19
德兴;1836;1817;-19
德春;1836;1819;-52
文蔚;1836;1691;-162
文蔚;1836;1691;-162
德兴;1836;1817;-19
德春;1837;1819;-52
文蔚;1837;1691;-162
麟魁;1837;1826;-12
功普;1837;1808;-29
德春;1838;1819;-52
文蔚;1838;1691;-162
麟魁;1838;1826;-12
德诚;1838;1826;-12
惟勤;1840;1809;-33
明训;1840;1820;-25
栢葰;1840;1826;-14
惟勤;1842;1809;-33
明训;1842;1820;-25
明训;1845;1820;-25
广林;1845;1814;-31
培成;1845;1903;49
明训;1845;1820;-25
毓书;1849;1829;-20
培成;1851;1903;49
培成;1852;1903;49
和色本;1853;1823;-33
恒春;1853;1820;-87
培成;1854;1903;49
和色本;1856;1823;-33
锡龄;1856;1841;-15
富呢雅杭阿;1857;1844;-13
倭仁;1858;1829;-31
文俊;1858;1895;36
倭仁;1858;1829;-31
倭仁;1859;1829;-31
文俊;1859;1895;36
倭仁;1859;1829;-31
倭仁;1860;1829;-31
双福;1860;1868;-38
煜纶;1860;1844;-16
宝珣;1865;1841;-24
清安;1865;1826;-43
志和;1865;1852;-21
桂清;1865;1799;-76
宝珣;1865;1841;-24
额勒和布;1866;1852;-19
清安;1866;1826;-43
