科年年号;科年时间;科年公历;科年干支;科;名次;科名;甲第;姓名;数据库3原名;省;府;县或州;旗分;民族;民族特点;先赋身份;旗人驻防地;说明;籍1;籍2;政治身份
乾隆;十六;1751;辛未;正科;078;赐同进士出身;3;全魁;;镶白;满洲;;镶白;满洲;;;;;;;旗人
乾隆;十六;1751;辛未;正科;078;赐同进士出身;3;全魁;;镶白;满洲;;镶白;满洲;;;;;;;旗人
乾隆;十六;1751;辛未;正科;078;赐同进士出身;3;全魁;;镶白;满洲;;镶白;满洲;;;;;;;旗人
乾隆;十六;1751;辛未;正科;078;赐同进士出身;3;全魁;;镶白;满洲;;镶白;满洲;;;;;;;旗人
乾隆;四十六;1781;辛丑;正科;009;赐同进士出身;3;玉保;;正黄;满洲;;正黄;满洲;;;;;;;旗人
乾隆;五十八;1793;癸丑;翻译科;001;翻译进士;;同麟;;镶红;满洲;乾隆五十八年;镶红;满洲;;;;翻译进士;;;旗人
乾隆;五十八;1793;癸丑;翻译科;001;翻译进士;;同麟;;镶红;满洲;乾隆五十八年;镶红;满洲;;;;翻译进士;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
乾隆;六十年;1795;乙卯;正科;016;赐同进士出身;3;多山;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
嘉庆;四;1799;己未;正科;091;赐同进士出身;3;贵庆;;镶白;满洲;;镶白;满洲;;;;;;;旗人
嘉庆;四;1799;己未;正科;091;赐同进士出身;3;贵庆;;镶白;满洲;;镶白;满洲;;;;;;;旗人
嘉庆;四;1799;己未;正科;091;赐同进士出身;3;贵庆;;镶白;满洲;;镶白;满洲;;;;;;;旗人
嘉庆;四;1799;己未;正科;091;赐同进士出身;3;贵庆;;镶白;满洲;;镶白;满洲;;;;;;;旗人
嘉庆;四;1799;己未;正科;091;赐同进士出身;3;贵庆;;镶白;满洲;;镶白;满洲;;;;;;;旗人
道光;二年;1822;壬午;恩科;066;赐进士出身;2;恩桂;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
嘉庆;十六;1811;辛未;正科;045;赐进士出身;2;奕泽;;正红;满洲;;正红;满洲;;宗室;;;;;旗人
嘉庆;二十二;1817;丁丑;正科;035;赐同进士出身;3;功普;;正蓝;满洲;;正蓝;满洲;;宗室;;;;;旗人
道光;六年;1826;丙戌;正科;079;赐进士出身;2;德诚;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
道光;六年;1826;丙戌;正科;079;赐进士出身;2;德诚;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
道光;六年;1826;丙戌;正科;079;赐进士出身;2;德诚;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
道光;六年;1826;丙戌;正科;079;赐进士出身;2;德诚;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
道光;六年;1826;丙戌;正科;086;赐进士出身;2;柏葰;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
道光;六年;1826;丙戌;正科;086;赐进士出身;2;柏葰;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
道光;六年;1826;丙戌;正科;086;赐进士出身;2;柏葰;;正蓝;蒙古;;正蓝;蒙古;;;;;;;旗人
道光;十三;1833;癸已;正科;030;赐同进士出身;3;博迪苏;;正白;蒙古;;正白;蒙古;;;;;;;旗人
嘉庆;十九;1814;甲戌;正科;013;赐同进士出身;3;广林;;正黄;蒙古;;正黄;蒙古;;;;;;;旗人
嘉庆;十九;1814;甲戌;正科;013;赐同进士出身;3;广林;;正黄;蒙古;;正黄;蒙古;;;;;;;旗人
嘉庆;十九;1814;甲戌;正科;013;赐同进士出身;3;广林;;正黄;蒙古;;正黄;蒙古;;;;;;;旗人
嘉庆;十九;1814;甲戌;正科;013;赐同进士出身;3;广林;;正黄;蒙古;;正黄;蒙古;;;;;;;旗人
嘉庆;十九;1814;甲戌;正科;013;赐同进士出身;3;广林;;正黄;蒙古;;正黄;蒙古;;;;;;;旗人
嘉庆;十九;1814;甲戌;正科;013;赐同进士出身;3;广林;;正黄;蒙古;;正黄;蒙古;;;;;;;旗人
嘉庆;二十五;1820;庚辰;正科;083;赐同进士出身;3;恒春;;正白;满洲;;正白;满洲;;;;;;;旗人
嘉庆;二十五;1820;庚辰;正科;083;赐同进士出身;3;恒春;;正白;满洲;;正白;满洲;;;;;;;旗人
道光;十二;1832;壬辰;恩科;066;赐进士出身;2;善焘;;镶白;满洲;;镶白;满洲;;宗室;;;;;旗人
道光;十二;1832;壬辰;恩科;066;赐进士出身;2;善焘;;镶白;满洲;;镶白;满洲;;宗室;;;;;旗人
道光;十二;1832;壬辰;恩科;066;赐进士出身;2;善焘;;镶白;满洲;;镶白;满洲;;宗室;;;;;旗人
道光;二十一;1841;辛丑;恩科;044;赐同进士出身;3;锡龄;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
道光;二十一;1841;辛丑;恩科;044;赐同进士出身;3;锡龄;;镶蓝;满洲;;镶蓝;满洲;;宗室;;;;;旗人
道光;十二;1832;壬辰;恩科;066;赐进士出身;2;善焘;;镶白;满洲;;镶白;满洲;;宗室;;;;;旗人
道光;十二;1832;壬辰;恩科;066;赐进士出身;2;善焘;;镶白;满洲;;镶白;满洲;;宗室;;;;;旗人
道光;十二;1832;壬辰;恩科;066;赐进士出身;2;善焘;;镶白;满洲;;镶白;满洲;;宗室;;;;;旗人
道光;三十;1850;庚戌;翻译科;011;翻译进士;;清安;;镶蓝;满洲;道光三十年庚戌科;镶蓝;满洲;;宗室;;翻译进士;;;旗人
道光;三十;1850;庚戌;翻译科;011;翻译进士;;清安;;镶蓝;满洲;道光三十年庚戌科;镶蓝;满洲;;宗室;;翻译进士;;;旗人
道光;三十;1850;庚戌;翻译科;011;翻译进士;;清安;;镶蓝;满洲;道光三十年庚戌科;镶蓝;满洲;;宗室;;翻译进士;;;旗人
道光;三十;1850;庚戌;翻译科;011;翻译进士;;清安;;镶蓝;满洲;道光三十年庚戌科;镶蓝;满洲;;宗室;;翻译进士;;;旗人
道光;三十年;1850;庚戌;正科;018;赐同进士出身;3;载肃;;镶红;满洲;;镶红;满洲;;宗室;;;;;旗人
咸丰;二;1852;壬子;翻译科;014;翻译进士;;桂清;;正白;满洲;咸丰二年壬子科;正白;满洲;;;;繙译进士;;;旗人
咸丰;二;1852;壬子;翻译科;014;翻译进士;;桂清;;正白;满洲;咸丰二年壬子科;正白;满洲;;;;繙译进士;;;旗人
咸丰;二;1852;壬子;翻译科;014;翻译进士;;桂清;;正白;满洲;咸丰二年壬子科;正白;满洲;;;;繙译进士;;;旗人
