姓名;科年公歷;旗分;民族
慶瑞;1835;镶白;汉军
茹林;1723;;
李永紹;1751;;
魏廷珍;1713;;
德齡;1715;;
德新;1826;镶白;汉军
留保;1721;镶黄;满洲
吳拜;1712;正红;满洲
奉寬;1742;正蓝;满洲
瓦爾達;1700;镶白;满洲
景福;1752;镶白;满洲
薩彬圖;1780;镶白;满洲
傅浚;1844;;
廉善;1799;正黄;满洲
恩寧;1808;正红;满洲
同麟;1793;镶红;满洲
多山;1795;正蓝;蒙古
多山;1795;正蓝;蒙古
凱音布;1801;镶蓝;满洲
貴慶;1799;镶白;满洲
恩貴;1811;镶白;蒙古
奕澤;1811;正红;满洲
龔溥;1808;;
德誠;1826;镶蓝;满洲
柏葰;1826;正蓝;蒙古
博迪蘇;1833;正白;蒙古
廣林;1814;正黄;蒙古
恒春;1820;正白;满洲
善燾;1832;镶白;满洲
錫齡;1841;镶蓝;满洲
善燾;1832;镶白;满洲
慶安;1826;镶白;蒙古
載肅;1850;镶红;满洲
貴慶;1799;镶白;满洲
貴慶;1799;镶白;满洲
訥仁;1853;镶黄;蒙古
興恩;1852;正白;满洲
阿克丹;1860;正白;满洲
鍾靈;1880;正蓝;满洲
德興;1817;镶黄;满洲
恩霖;1844;正白;满洲
額勒精額;1859;;
王胤祚;1646;;
耿効忠;1655;;
李濤;1898;;
郝林;1682;;
朱軾;1694;;
屠沂;1694;;
文志鯨;1691;;
鄒汝魯;1691;;
蔡珽;1697;正白;
黎致遠;1709;;
宋筠;1709;;
吳應枚;1724;;
瓦爾達;1700;镶白;满洲
瓦爾達;1700;镶白;满洲
德風;1752;正白;满洲
全魁;1751;镶白;满洲
鐵保;1772;正黄;满洲
瑚圖禮;1787;正白;满洲
成書;1784;镶白;满洲
德文;1790;正白;满洲
榮麟;1789;正蓝;满洲
馬慧裕;1771;正黄;汉军
傅浚;1844;;
德文;1790;正白;满洲
德興;1817;镶黄;满洲
惟勤;1809;镶蓝;满洲
柏葰;1826;正蓝;蒙古
惟勤;1809;镶蓝;满洲
明訓;1820;正黄;蒙古
富呢雅杭阿;1844;镶红;蒙古
倭仁;1829;正红;蒙古
和潤;1840;镶蓝;满洲
寶珣;1841;镶黄;满洲
額勒和布;1852;镶蓝;满洲
瑞聯;1853;正蓝;满洲
志和;1852;正蓝;满洲
崇實;1850;镶黄;满洲
崇綺;1865;正蓝;蒙古
趙爾巽;1874;正蓝;汉军
陳用敷;1760;;
福保;1766;正白;满洲
貴慶;1799;镶白;满洲
呈麟;1814;正蓝;满洲
福濟;1833;镶白;满洲
恒春;1820;正白;满洲
溫爲;1691;;
景麟;1809;镶红;满洲
和潤;1840;镶蓝;满洲
景麟;1809;镶红;满洲
廷杰;1876;正白;满洲
廷杰;1876;正白;满洲
明福;1748;正黄;蒙古
傅浚;1844;;
傅浚;1844;;
傅浚;1844;;
寶興;1805;镶黄;满洲
寶興;1805;镶黄;满洲
廣林;1814;正黄;蒙古
倭仁;1829;正红;蒙古
寶珣;1841;镶黄;满洲
瑞聯;1853;正蓝;满洲
崇實;1850;镶黄;满洲
崇綺;1865;正蓝;蒙古
廷杰;1876;正白;满洲
趙爾巽;1874;正蓝;汉军
常德;1727;正红;满洲
傅浚;1844;;
傅浚;1844;;
傅浚;1844;;
傅浚;1844;;
寶興;1805;镶黄;满洲
惟勤;1809;镶蓝;满洲
皂保;1845;镶黄;满洲
皂保;1845;镶黄;满洲
銘安;1856;镶黄;满洲
崇綺;1865;正蓝;蒙古
銘安;1856;镶黄;满洲
延茂;1863;正白;汉军
延茂;1863;正白;汉军
程恂;1736;;
傅浚;1844;;
果齊斯歡;1802;镶蓝;满洲
蟒色;1652;正白;满洲
瓦爾達;1700;镶白;满洲
瓦爾達;1700;镶白;满洲
